dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,similarity,heuristic_type
results_sciq_5000,BGE,high_similarity_wrong,sample_1016,What type of thin lava forms shapes and tubes as it flows?,pāhoehoe,Pahoehoe,0.000,1.000,semantic_relatedness_not_correctness
results_sciq_5000,BGE,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.982,morphology_or_inflection
results_sciq_5000,BGE,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.979,morphology_or_inflection
results_sciq_5000,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.400,0.977,semantic_relatedness_not_correctness
results_sciq_5000,BGE,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,Electron configuration,0.500,0.976,morphology_or_inflection
results_sciq_5000,BGE,high_similarity_wrong,sample_1559,What type of butterfly do birds avoid eating since it makes them sick?,monarch butterflies,Monarch Butterfly,0.500,0.976,morphology_or_inflection
results_sciq_5000,BGE,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.975,morphology_or_inflection
results_sciq_5000,BGE,high_similarity_wrong,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0.500,0.974,morphology_or_inflection
results_sciq_5000,MiniLM,high_similarity_wrong,sample_1016,What type of thin lava forms shapes and tubes as it flows?,pāhoehoe,Pahoehoe,0.000,1.000,semantic_relatedness_not_correctness
results_sciq_5000,MiniLM,high_similarity_wrong,sample_2502,The elements in group 2 are called what?,alkaline earth metals,Alkali earth metals,0.667,0.984,synonym_or_paraphrase_labeling_artifact
results_sciq_5000,MiniLM,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.979,morphology_or_inflection
results_sciq_5000,MiniLM,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.976,morphology_or_inflection
results_sciq_5000,MiniLM,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.976,morphology_or_inflection
results_sciq_5000,MiniLM,high_similarity_wrong,sample_1204,What type of disease is caused by pathogens?,infectious diseases,Infectious disease,0.500,0.973,synonym_or_paraphrase_labeling_artifact
results_sciq_5000,MiniLM,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,Electron configuration,0.500,0.969,morphology_or_inflection
results_sciq_5000,MiniLM,high_similarity_wrong,sample_3625,What is used to measure current through a resistor?,ammeters,Ammeter,0.000,0.968,morphology_or_inflection
results_sciq_5000,MiniLM,low_similarity_correct,sample_1659,What is the fracture called when rocks on both sides move?,a fault,Strike-slip fault,0.500,0.499,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_4360,What is algae easier to covert into that corn is currently used for?,fuel,biofuel,0.000,0.494,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_1481,What property are alkali metals at room temperature?,solid,Solid elements except for lithium.,0.333,0.493,overly_long_answer_context_dilution
results_sciq_5000,MiniLM,low_similarity_correct,sample_2643,"Condensation, melting, deposition, sublimation, vaporization, and freezing are all considered changes in what?",state,states of matter,0.000,0.491,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_1394,The logistics of carrying out cellular metabolism sets limits on what physical property of the cell?,size,Cell size,0.667,0.491,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_2146,"In the case of the thyroid hormone pathway, thyroid hormone itself carries out what kind of feedback?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_3366,"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
results_sciq_5000,MiniLM,low_similarity_correct,sample_3166,Researchers have also used insect courtship to explore genetic variation underlying differences in what?,behavior,mating behavior,0.667,0.484,answer_containment_low_embedding_score
