dataset,model,failure_kind,human_type,count,percentage
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,3,6.0
results_nq,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,9,18.0
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,11,22.0
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,13,26.0
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,13,26.0
results_nq,MiniLM,high_similarity_wrong,morphology_or_inflection,6,12.0
results_nq,MiniLM,high_similarity_wrong,numeric_equivalence,3,6.0
results_nq,MiniLM,high_similarity_wrong,other_or_true_semantic_error,10,20.0
results_nq,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,5,10.0
results_nq,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,8,16.0
results_nq,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,18,36.0
results_nq,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,25,62.5
results_nq,MiniLM,low_similarity_correct,numeric_equivalence,3,7.5
results_nq,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,30.0
results_sciq_5000,BGE,high_similarity_wrong,morphology_or_inflection,5,10.0
results_sciq_5000,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_sciq_5000,BGE,high_similarity_wrong,other_or_true_semantic_error,11,22.0
results_sciq_5000,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,10,20.0
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,16,32.0
results_sciq_5000,MiniLM,high_similarity_wrong,morphology_or_inflection,5,10.0
results_sciq_5000,MiniLM,high_similarity_wrong,numeric_equivalence,4,8.0
results_sciq_5000,MiniLM,high_similarity_wrong,other_or_true_semantic_error,7,14.0
results_sciq_5000,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,9,18.0
results_sciq_5000,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,7,14.0
results_sciq_5000,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,18,36.0
results_sciq_5000,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,22,59.5
results_sciq_5000,MiniLM,low_similarity_correct,numeric_equivalence,3,8.1
results_sciq_5000,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,32.4
results_truthfulQA_500,BGE,high_similarity_wrong,morphology_or_inflection,3,6.0
results_truthfulQA_500,BGE,high_similarity_wrong,numeric_equivalence,2,4.0
results_truthfulQA_500,BGE,high_similarity_wrong,other_or_true_semantic_error,2,4.0
results_truthfulQA_500,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,10,20.0
results_truthfulQA_500,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,21,42.0
results_truthfulQA_500,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,12,24.0
results_truthfulQA_500,MiniLM,high_similarity_wrong,morphology_or_inflection,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,numeric_equivalence,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,other_or_true_semantic_error,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,5,17.9
results_truthfulQA_500,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,2,100.0
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,4,8.0
results_wiki,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,9,18.0
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,16,32.0
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,13,26.0
results_wiki,MiniLM,high_similarity_wrong,morphology_or_inflection,4,8.0
results_wiki,MiniLM,high_similarity_wrong,numeric_equivalence,5,10.0
results_wiki,MiniLM,high_similarity_wrong,other_or_true_semantic_error,6,12.0
results_wiki,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_wiki,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,12,24.0
results_wiki,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,16,32.0
results_wiki,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,24,68.6
results_wiki,MiniLM,low_similarity_correct,numeric_equivalence,3,8.6
results_wiki,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,8,22.9
