dataset,model,failure_kind,human_type,count,percentage
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,4,8.0
results_wiki,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,9,18.0
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,16,32.0
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,13,26.0
results_wiki,MiniLM,high_similarity_wrong,morphology_or_inflection,4,8.0
results_wiki,MiniLM,high_similarity_wrong,numeric_equivalence,5,10.0
results_wiki,MiniLM,high_similarity_wrong,other_or_true_semantic_error,6,12.0
results_wiki,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_wiki,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,12,24.0
results_wiki,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,16,32.0
results_wiki,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,24,68.6
results_wiki,MiniLM,low_similarity_correct,numeric_equivalence,3,8.6
results_wiki,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,8,22.9
