result_group,dataset,task_type,model,failure_kind,id,question,reference_used,ground_truth,prediction,reference_answer_source,correct_label,token_f1,active_similarity,distance,human_category,human_type,human_rationale,annotator
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_19,What type of music Fall Heads Roll,post-punk,post-punk,Post-metal,,0,0.5,0.817,0.183,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_36,what television genre is The Starter Wife?,drama film,drama film,Drama,,0,0.6666666666666666,0.806,0.194,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_80,what genre is the book In the Line of Fire: A Memoir,memoir,memoir,Autobiography,,0,0.0,0.821,0.179,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_107,Leo Durocher is what in relation to baseball?,baseball manager,baseball manager,Baseball player and manager,,0,0.6666666666666666,0.843,0.157,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_139,what is constance markiewicz's religion?,Catholicism,Catholicism,Roman Catholic,,0,0.0,0.864,0.136,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_153,What sport is Criciúma Esporte Clube a part of?,association football,association football,Football,,0,0.6666666666666666,0.860,0.140,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_157,what genre is the film On the Nickel,drama film,drama film,Drama,,0,0.6666666666666666,0.806,0.194,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_214,what religion is Vinny deMacedo a part of,Catholicism,Catholicism,Roman Catholic,,0,0.0,0.864,0.136,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,BGE,high_similarity_wrong,sample_442,what country is the city Chongqing in,People's Republic of China,People's Republic of China,China,,0,0.33333333333333337,0.812,0.188,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_simple_questions_wiki_500,short_form,MiniLM,high_similarity_wrong,sample_31,"which country does Harry Blackstone, Jr. come from",United States of America,United States of America,United States,,0,0.6666666666666666,0.904,0.096,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
