dataset,model,failure_kind,human_type,count,percentage
results_truthfulQA_500,BGE,high_similarity_wrong,morphology_or_inflection,3,6.0
results_truthfulQA_500,BGE,high_similarity_wrong,numeric_equivalence,2,4.0
results_truthfulQA_500,BGE,high_similarity_wrong,other_or_true_semantic_error,2,4.0
results_truthfulQA_500,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,10,20.0
results_truthfulQA_500,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,21,42.0
results_truthfulQA_500,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,12,24.0
results_truthfulQA_500,MiniLM,high_similarity_wrong,morphology_or_inflection,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,numeric_equivalence,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,other_or_true_semantic_error,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,5,17.9
results_truthfulQA_500,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,2,100.0
