result_group,dataset,task_type,model,failure_kind,id,question,reference_used,ground_truth,prediction,reference_answer_source,correct_label,token_f1,active_similarity,distance,human_category,human_type,human_rationale,annotator
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_382,when was animal testing for cosmetics banned in the uk,Testing cosmetics on animals Animal testing on cosmetics or their ingredients was banned in the UK in 1998.[33],Testing cosmetics on animals Animal testing on cosmetics or their ingredients was banned in the UK in 1998.[33],"Animal testing for cosmetics was banned in the UK on April 11, 2009.",,0,0.5333333333333333,0.894,0.106,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_2122,what is a passing score for the cbest test,"California Basic Educational Skills Test All three sections of test must be passed in order to pass the CBEST. Raw scores can range from 1–50, which are then converted to scaled scores ranging from 20–80. The passing scaled score on each section of the test is 41, and a minimum total score of 123 for all three sections must be achieved to pass.[2]","California Basic Educational Skills Test All three sections of test must be passed in order to pass the CBEST. Raw scores can range from 1–50, which are then converted to scaled scores ranging from 20–80. The passing scaled score on each section of the test is 41, and a minimum total score of 123 for all three sections must be achieved to pass.[2]","The passing score for the CBEST test is 41 out of 100 on each subtest, with a minimum total score of 123.",,0,0.37037037037037035,0.856,0.144,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_1976,when will subnautica be finished for xbox one,"Subnautica Subnautica is a survival adventure game developed and published by Unknown Worlds Entertainment. It allows the player to freely explore the ocean on an alien planet, known as planet 4546B, collecting resources to survive.[3][4] Subnautica was first released in early access for Microsoft Windows in December 2014, Mac OS X in June 2015, and for Xbox One in May 2016.[5][6][7][8] The full release out of early access was in January 2018 Exclusive for PC on Steam, with a version for the PlayStation 4 also planned for a later date.[9][10]","Subnautica Subnautica is a survival adventure game developed and published by Unknown Worlds Entertainment. It allows the player to freely explore the ocean on an alien planet, known as planet 4546B, collecting resources to survive.[3][4] Subnautica was first released in early access for Microsoft Windows in December 2014, Mac OS X in June 2015, and for Xbox One in May 2016.[5][6][7][8] The full release out of early access was in January 2018 Exclusive for PC on Steam, with a version for the PlayStation 4 also planned for a later date.[9][10]",Subnautica was released for Xbox One in 2016.,,0,0.163265306122449,0.844,0.156,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_924,when does jurassic world fallen kingdom come out,"Jurassic World: Fallen Kingdom Universal Pictures has scheduled the film to be released in the United States on June 22, 2018. A sequel is set to be released on June 11, 2021.","Jurassic World: Fallen Kingdom Universal Pictures has scheduled the film to be released in the United States on June 22, 2018. A sequel is set to be released on June 11, 2021.","Jurassic World Fallen Kingdom was released on June 15, 2018.",,0,0.4102564102564103,0.889,0.111,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_409,where is the camping world bowl played at,"Camping World Bowl The Camping World Bowl is an annual college football bowl game that is played in Orlando, Florida, at Camping World Stadium. The bowl is operated by Florida Citrus Sports, a non-profit group which also organizes the Citrus Bowl and the Florida Classic.","Camping World Bowl The Camping World Bowl is an annual college football bowl game that is played in Orlando, Florida, at Camping World Stadium. The bowl is operated by Florida Citrus Sports, a non-profit group which also organizes the Citrus Bowl and the Florida Classic.","The Camping World Bowl is played at Camping World Stadium in Orlando, Florida.",,0,0.4615384615384615,0.923,0.077,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_3925,where does the phrase creme dela creme come from,"Crème de la crème Crème de la crème (French, lit. 'cream of the cream') is an idiom meaning the ""best of the best"", ""superlative"", or ""the very best"".","Crème de la crème Crème de la crème (French, lit. 'cream of the cream') is an idiom meaning the ""best of the best"", ""superlative"", or ""the very best"".","The phrase ""creme dela creme"" is derived from French, meaning ""cream of the cream,"" implying the best of the best.",,0,0.46153846153846156,0.862,0.138,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_3621,who passed the civil rights act of 1964,"Civil Rights Act of 1964 The legislation had been proposed by President John F. Kennedy in June 1963, but opposed by filibuster in the Senate. Thereafter, President Lyndon B. Johnson pushed the bill forward, which in its final form was passed in the U.S. Congress by a Senate vote of 73–27 and House vote of 289–126. The Act was signed into law by President Johnson on July 2, 1964, at the White House.","Civil Rights Act of 1964 The legislation had been proposed by President John F. Kennedy in June 1963, but opposed by filibuster in the Senate. Thereafter, President Lyndon B. Johnson pushed the bill forward, which in its final form was passed in the U.S. Congress by a Senate vote of 73–27 and House vote of 289–126. The Act was signed into law by President Johnson on July 2, 1964, at the White House.",President Lyndon B. Johnson signed the Civil Rights Act of 1964 into law.,,0,0.29629629629629634,0.847,0.153,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_1548,who owns the aquarius casino in laughlin nv,"Aquarius Casino Resort Aquarius Casino Resort (formerly Flamingo Hilton Laughlin and Flamingo Laughlin) is a hotel and casino located on the banks of the Colorado River in Laughlin, Nevada. It is owned and operated by Golden Entertainment and is the largest hotel in Laughlin.","Aquarius Casino Resort Aquarius Casino Resort (formerly Flamingo Hilton Laughlin and Flamingo Laughlin) is a hotel and casino located on the banks of the Colorado River in Laughlin, Nevada. It is owned and operated by Golden Entertainment and is the largest hotel in Laughlin.","Caesars Entertainment owns the Aquarius Casino Resort in Laughlin, NV.",,0,0.24489795918367346,0.846,0.154,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_4308,when does the lego ninjago movie videogame come out,"The Lego Ninjago Movie A video game by TT Fusion based on the film, The Lego Ninjago Movie Video Game, is set to be released on September 22, 2017 for Windows PC, Nintendo Switch, Playstation 4 and Xbox One.[12][13] The game will be similar to previous Lego games, with some new features such as multiplayer and new techniques.[12]","The Lego Ninjago Movie A video game by TT Fusion based on the film, The Lego Ninjago Movie Video Game, is set to be released on September 22, 2017 for Windows PC, Nintendo Switch, Playstation 4 and Xbox One.[12][13] The game will be similar to previous Lego games, with some new features such as multiplayer and new techniques.[12]","The Lego Ninjago Movie video game was released on September 25, 2018.",,0,0.23880597014925373,0.891,0.109,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_4365,when does american horror story the apocalypse start,"American Horror Story: Apocalypse American Horror Story: Apocalypse is the eighth season of the FX horror anthology television series American Horror Story. It was announced on January 12, 2017,[1] and premiered on September 12, 2018.[2] It has been described as a crossover between the first and third seasons of the series.","American Horror Story: Apocalypse American Horror Story: Apocalypse is the eighth season of the FX horror anthology television series American Horror Story. It was announced on January 12, 2017,[1] and premiered on September 12, 2018.[2] It has been described as a crossover between the first and third seasons of the series.","American Horror Story: The Apocalypse starts with Season 7, which premiered on October 10, 2017.",,0,0.25806451612903225,0.876,0.124,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_865,when does season 6 of house of cards start,"House of Cards (season 6) The sixth and final season of the American political drama web television series House of Cards was confirmed by Netflix on December 4, 2017, and is scheduled to be released in late 2018.[1] Unlike previous seasons that consisted of thirteen episodes each, the sixth season will consist of only eight. The season will not include former lead actor Kevin Spacey, who was fired from the show due to sexual misconduct allegations.","House of Cards (season 6) The sixth and final season of the American political drama web television series House of Cards was confirmed by Netflix on December 4, 2017, and is scheduled to be released in late 2018.[1] Unlike previous seasons that consisted of thirteen episodes each, the sixth season will consist of only eight. The season will not include former lead actor Kevin Spacey, who was fired from the show due to sexual misconduct allegations.","Season 6 of House of Cards started on February 16, 2017.",,0,0.19277108433734935,0.838,0.162,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_3372,where is the scrotum located on a man,"Scrotum The scrotum is an anatomical male reproductive structure that consists of a suspended dual-chambered sack of skin and smooth muscle that is present in most terrestrial male mammals and located under the penis. One testis is typically lower than the other to avoid compression in the event of impact.[1] The perineal raphe is a small, vertical, slightly raised ridge of scrotal skin under which is found the scrotal septum. It appears as a thin longitudinal line that runs front to back over the entire scrotum. The scrotum contains the external spermatic fascia, testes, epididymis and ductus deferens. It is a distention of the perineum and carries some abdominal tissues into its cavity including the testicular artery, testicular vein and pampiniform plexus. In humans and some other mammals, the scrotum becomes covered with pubic hair at puberty. The scrotum will usually tighten during penile erection and when exposed to cold temperature.","Scrotum The scrotum is an anatomical male reproductive structure that consists of a suspended dual-chambered sack of skin and smooth muscle that is present in most terrestrial male mammals and located under the penis. One testis is typically lower than the other to avoid compression in the event of impact.[1] The perineal raphe is a small, vertical, slightly raised ridge of scrotal skin under which is found the scrotal septum. It appears as a thin longitudinal line that runs front to back over the entire scrotum. The scrotum contains the external spermatic fascia, testes, epididymis and ductus deferens. It is a distention of the perineum and carries some abdominal tissues into its cavity including the testicular artery, testicular vein and pampiniform plexus. In humans and some other mammals, the scrotum becomes covered with pubic hair at puberty. The scrotum will usually tighten during penile erection and when exposed to cold temperature.","The scrotum is located between the legs, below the penis.",,0,0.056338028169014086,0.819,0.181,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_4016,t.i. feat. rihanna - live your life,"Live Your Life (T.I. song) ""Live Your Life"" is a song by American rapper T.I., from his sixth studio album, Paper Trail (2008), and features Barbadian singer Rihanna. It was released as the seventh single from the album on September 23, 2008. The song is a conscious hip hop track with elements of contemporary R&B. The song's lyrics speak of T.I.'s rise to fame and optimism of the future. It also gives dedication to the American troops fighting in Iraq and Afghanistan.","Live Your Life (T.I. song) ""Live Your Life"" is a song by American rapper T.I., from his sixth studio album, Paper Trail (2008), and features Barbadian singer Rihanna. It was released as the seventh single from the album on September 23, 2008. The song is a conscious hip hop track with elements of contemporary R&B. The song's lyrics speak of T.I.'s rise to fame and optimism of the future. It also gives dedication to the American troops fighting in Iraq and Afghanistan.","T.I. and Rihanna's song ""Live Your Life"" was released in 2008.",,0,0.27956989247311825,0.824,0.176,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_2596,who painted the lady with the pearl earring,"Girl with a Pearl Earring Girl with a Pearl Earring (Dutch: Meisje met de parel)[1][2] is an oil painting by Dutch Golden Age painter Johannes Vermeer. It is a tronie of a girl wearing a headscarf and a pearl earring. The painting has been in the collection of the Mauritshuis in The Hague since 1902. In 2006, the Dutch public selected it as the most beautiful painting in the Netherlands.[3]","Girl with a Pearl Earring Girl with a Pearl Earring (Dutch: Meisje met de parel)[1][2] is an oil painting by Dutch Golden Age painter Johannes Vermeer. It is a tronie of a girl wearing a headscarf and a pearl earring. The painting has been in the collection of the Mauritshuis in The Hague since 1902. In 2006, the Dutch public selected it as the most beautiful painting in the Netherlands.[3]","Johannes Vermeer painted ""The Lady with the Pearl Earring.""",,0,0.15151515151515152,0.838,0.162,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_2135,what does the mean of probability distribution tell us,"Mean The mean of a probability distribution is the long-run arithmetic average value of a random variable having that distribution. In this context, it is also known as the expected value. For a discrete probability distribution, the mean is given by   ∑ x P ( x )  {\displaystyle \textstyle \sum xP(x)} , where the sum is taken over all possible values of the random variable and   P ( x )  {\displaystyle P(x)}  is the probability mass function. For a continuous distribution,the mean is    ∫ − ∞  ∞  x f ( x ) d x  {\displaystyle \textstyle \int _{-\infty }^{\infty }xf(x)\,dx} , where   f ( x )  {\displaystyle f(x)}  is the probability density function. In all cases, including those in which the distribution is neither discrete nor continuous, the mean is the Lebesgue integral of the random variable with respect to its probability measure. The mean need not exist or be finite; for some probability distributions the mean is infinite (+∞ or −∞), while others have no mean.","Mean The mean of a probability distribution is the long-run arithmetic average value of a random variable having that distribution. In this context, it is also known as the expected value. For a discrete probability distribution, the mean is given by   ∑ x P ( x )  {\displaystyle \textstyle \sum xP(x)} , where the sum is taken over all possible values of the random variable and   P ( x )  {\displaystyle P(x)}  is the probability mass function. For a continuous distribution,the mean is    ∫ − ∞  ∞  x f ( x ) d x  {\displaystyle \textstyle \int _{-\infty }^{\infty }xf(x)\,dx} , where   f ( x )  {\displaystyle f(x)}  is the probability density function. In all cases, including those in which the distribution is neither discrete nor continuous, the mean is the Lebesgue integral of the random variable with respect to its probability measure. The mean need not exist or be finite; for some probability distributions the mean is infinite (+∞ or −∞), while others have no mean.",The mean of a probability distribution tells us the expected value or the long-run average outcome of the random variable.,,0,0.16774193548387098,0.819,0.181,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,sample_1687,when is mardi gras in new orleans celebrated,"Mardi Gras in New Orleans The holiday of Mardi Gras is celebrated in Southern Louisiana, including the city of New Orleans. Celebrations are concentrated for about two weeks before and through Shrove Tuesday, the day before Ash Wednesday (the start of lent in the Western Christian tradition). Usually there is one major parade each day (weather permitting); many days have several large parades. The largest and most elaborate parades take place the last five days of the Mardi Gras season. In the final week, many events occur throughout New Orleans and surrounding communities, including parades and balls (some of them masquerade balls).","Mardi Gras in New Orleans The holiday of Mardi Gras is celebrated in Southern Louisiana, including the city of New Orleans. Celebrations are concentrated for about two weeks before and through Shrove Tuesday, the day before Ash Wednesday (the start of lent in the Western Christian tradition). Usually there is one major parade each day (weather permitting); many days have several large parades. The largest and most elaborate parades take place the last five days of the Mardi Gras season. In the final week, many events occur throughout New Orleans and surrounding communities, including parades and balls (some of them masquerade balls).","Mardi Gras in New Orleans is celebrated on the Tuesday preceding Ash Wednesday, varying each year but always before the start of Lent.",,0,0.2631578947368421,0.820,0.180,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.,"Codex manual review, 2026-05-07"
