dataset,model,failure_kind,heuristic_type,id,question,ground_truth,prediction,exact_match,token_f1,contains_ground_truth,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_10,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",active metal,active,0,0.6666666666666666,0,0,0.5899034142494202,0.8021406531333923
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_11,What is controlled by both genes and experiences in a given envionment?,animal behaviors,Behavior,0,0.0,0,0,0.6072867512702942,0.8763943910598755
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,Gene expression,0,0.5,0,0,0.7839295268058777,0.8610604405403137
results_sciq_5000,BGE,high_similarity_wrong,morphology_or_inflection,sample_30,Where do angiosperms produce seeds in flowers?,ovaries,Ovary,0,0.0,0,0,0.8327299952507019,0.8951191902160645
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,food molecules,0,0.5,0,0,0.695904552936554,0.8517604470252991
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,Succession,0,0.6666666666666666,0,0,0.8740105032920837,0.8195450901985168
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_66,What consequence of a tornado is responsible for most injuries and deaths?,flying debris,Debris impact,0,0.5,0,0,0.7417299747467041,0.8136395812034607
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,Sexual organs,0,0.5,0,0,0.8387917280197144,0.8908389210700989
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,Frost wedging,0,0.5,0,0,0.8144583702087402,0.8935737609863281
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_97,What type of reactions form compounds?,chemical reactions,Synthesis reactions,0,0.5,0,0,0.7546690106391907,0.8366625308990479
results_sciq_5000,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_102,What is the term for the force of attraction between things that have a mass?,gravity,Gravitational force,0,0.0,0,0,0.7904050946235657,0.8508159518241882
results_sciq_5000,BGE,high_similarity_wrong,numeric_equivalence,sample_108,How many different types of taste can be detected by taste buds?,five,5,0,0.0,0,0,0.9229784607887268,0.9198909997940063
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0,0.5,0,0,0.7587158679962158,0.8369266986846924
results_sciq_5000,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0,0.4,0,0,0.8981689214706421,0.976912796497345
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_131,"First, high temperature denatures proteins and does what to cells?",kills them,Kills cells,0,0.5,0,0,0.502190351486206,0.8010231852531433
