dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,contains_ground_truth,similarity_MiniLM,similarity_BGE,suggested_heuristic_type,human_type,human_notes,human_category
results_nq,BGE,high_similarity_wrong,sample_3286,"Connected to agriculture, forestry, mining, and urbanization, what is the single biggest cause of extinction today?",habitat loss,Habitat destruction,0.5,0,0.8640176653862,0.8849877715110779,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
results_nq,BGE,high_similarity_wrong,sample_497,What is the study of the similarities and differences in the embryos of different species?,comparative embryology,Embryology,0.6666666666666666,0,0.8779030442237854,0.841647744178772,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0.5,0,0.7587158679962158,0.8369268774986267,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
results_nq,BGE,high_similarity_wrong,sample_3818,What is mass number?,the total number of protons and neutrons in a nucleus,Sum of protons and neutrons in an atom.,0.6666666666666666,0,0.7754087448120117,0.8673850893974304,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
results_nq,BGE,high_similarity_wrong,sample_1230,What will happen if the gas particles inside an inflated balloon suddenly stop moving?,balloon deflates,The balloon will deflate.,0.4,0,0.7623334527015686,0.8784968852996826,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_1085,Nearly all of what are constructed from a set of just 20 common amino acids?,biological proteins,Proteins,0.6666666666666666,0,0.9084293842315674,0.8311052918434143,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_1015,What is biomass made into fuel called?,bio fuel,Biofuel,0.0,0,0.7164958715438843,0.872018575668335,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_599,"Like other bryophytes, moss plants spend most of their life cycle as?",gametophytes,gametophyte,0.0,0,0.9248483180999756,0.969038724899292,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_3805,What is the body of a roundworm covered with?,tough cuticle,Cuticle,0.6666666666666666,0,0.8713212609291077,0.8524376153945923,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity.",semantic_similarity_limitation
results_nq,BGE,high_similarity_wrong,sample_469,An action potential that starts at the axon hillock moves along the axon only toward what?,the synaptic terminals,axon terminals,0.5,0,0.5886072516441345,0.8400040864944458,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.,automatic_label_artifact
