result_group,dataset,model,failure_kind,human_category,human_type,sampled_count,percentage
baseline,results_nq_5000,BGE,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,2,6.7
baseline,results_nq_5000,BGE,high_similarity_wrong,semantic_similarity_limitation,relatedness_over_scoring,1,3.3
baseline,results_nq_5000,BGE,high_similarity_wrong,semantic_similarity_limitation,topic_relatedness_from_long_passage,26,86.7
baseline,results_nq_5000,BGE,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,1,3.3
baseline,results_nq_5000,BGE,low_similarity_correct,low_similarity_false_negative,short_answer_vs_long_passage,16,100.0
baseline,results_nq_5000,MiniLM,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,2,6.7
baseline,results_nq_5000,MiniLM,high_similarity_wrong,semantic_similarity_limitation,semantic_relatedness_not_correctness,6,20.0
baseline,results_nq_5000,MiniLM,high_similarity_wrong,semantic_similarity_limitation,topic_relatedness_from_long_passage,22,73.3
baseline,results_nq_5000,MiniLM,low_similarity_correct,low_similarity_false_negative,short_answer_vs_long_passage,30,100.0
baseline,results_sciq_500,BGE,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,12,40.0
baseline,results_sciq_500,BGE,high_similarity_wrong,semantic_similarity_limitation,relatedness_over_scoring,11,36.7
baseline,results_sciq_500,BGE,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,7,23.3
baseline,results_sciq_500,MiniLM,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,6,24.0
baseline,results_sciq_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,semantic_relatedness_not_correctness,12,48.0
baseline,results_sciq_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,7,28.0
baseline,results_sciq_500,MiniLM,low_similarity_correct,low_similarity_false_negative,answer_containment_or_context_dilution,1,100.0
baseline,results_simple_questions_wiki_500,BGE,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,1,11.1
baseline,results_simple_questions_wiki_500,BGE,high_similarity_wrong,semantic_similarity_limitation,relatedness_over_scoring,3,33.3
baseline,results_simple_questions_wiki_500,BGE,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,5,55.6
baseline,results_simple_questions_wiki_500,MiniLM,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,3,23.1
baseline,results_simple_questions_wiki_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,semantic_relatedness_not_correctness,3,23.1
baseline,results_simple_questions_wiki_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,7,53.8
baseline,results_truthfulQA_500,BGE,high_similarity_wrong,automatic_label_artifact,numeric_or_date_equivalence,1,3.3
baseline,results_truthfulQA_500,BGE,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,13,43.3
baseline,results_truthfulQA_500,BGE,high_similarity_wrong,semantic_similarity_limitation,relatedness_over_scoring,14,46.7
baseline,results_truthfulQA_500,BGE,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,2,6.7
baseline,results_truthfulQA_500,MiniLM,high_similarity_wrong,automatic_label_artifact,numeric_or_date_equivalence,2,6.7
baseline,results_truthfulQA_500,MiniLM,high_similarity_wrong,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,14,46.7
baseline,results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,semantic_relatedness_not_correctness,12,40.0
baseline,results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,2,6.7
baseline,results_truthfulQA_500,MiniLM,low_similarity_correct,low_similarity_false_negative,answer_containment_or_context_dilution,2,100.0
implemented_improvement,results_nq_500,BGE,high_similarity_wrong,automatic_label_artifact,extracted_reference_close_paraphrase,6,20.0
implemented_improvement,results_nq_500,BGE,high_similarity_wrong,semantic_similarity_limitation,extracted_reference_needs_entailment_check,4,13.3
implemented_improvement,results_nq_500,BGE,high_similarity_wrong,semantic_similarity_limitation,relatedness_over_scoring,19,63.3
implemented_improvement,results_nq_500,BGE,high_similarity_wrong,semantic_similarity_limitation,under_or_over_specific_answer,1,3.3
implemented_improvement,results_nq_500,BGE,low_similarity_correct,low_similarity_false_negative,answer_containment_or_context_dilution,5,100.0
implemented_improvement,results_nq_500,MiniLM,high_similarity_wrong,automatic_label_artifact,extracted_reference_close_paraphrase,4,36.4
implemented_improvement,results_nq_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,extracted_reference_needs_entailment_check,2,18.2
implemented_improvement,results_nq_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,semantic_relatedness_not_correctness,5,45.5
implemented_improvement,results_nq_500,MiniLM,low_similarity_correct,low_similarity_false_negative,answer_containment_or_context_dilution,24,100.0
