dataset,task_type,model,failure_kind,id,question,ground_truth,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,similarity,distance,explanation_hint
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_793,what is the definition of ohm's law,"Ohm's law Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points. Introducing the constant of proportionality, the resistance,[1] one arrives at the usual mathematical equation that describes this relationship:[2]",Ohm's Law states that the current through a conductor between two points is directly proportional to the voltage across the two points and inversely proportional to the resistance between them.,0,0.6153846153846154,0,0.3333333333333333,0.9505186676979065,0.049481332302093506,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_3571,who wrote the song flight of the bumblebee,"Flight of the Bumblebee ""Flight of the Bumblebee"" is an orchestral interlude written by Nikolai Rimsky Korsakov for his opera The Tale of Tsar Saltan, composed in 1899â€“1900. Its composition is intended to musically evoke the seemingly chaotic and rapidly changing flying pattern of a bumblebee. Despite the piece's being a rather incidental part of the opera, it is today one of the more familiar classical works because of its frequent use in popular culture.","Nikolai Rimsky-Korsakov wrote ""Flight of the Bumblebee,"" an orchestral passage from his opera ""The Tale of Tsar Saltan.""",0,0.3132530120481928,0,0.5714285714285715,0.9446284174919128,0.05537158250808716,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_4242,what is the new living translation version of the bible,"New Living Translation The New Living Translation (NLT) is a translation of the Bible into modern English. Originally starting out as an effort to revise The Living Bible, the project evolved into a new English translation from Hebrew and Greek texts. Some stylistic influences of The Living Bible remained in the first edition (1996), but these are less evident in the second and third editions (2004, 2007). As of March 2014, the Christian Booksellers Association ranks the NLT as the second most popular English version of the Bible based on unit sales.[3]",The New Living Translation (NLT) is a contemporary English translation of the Bible.,0,0.20224719101123595,0,0.21052631578947367,0.943096399307251,0.05690360069274902,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_2415,when does the fourth season of the flash come out,"The Flash (season 4) The fourth season began airing on October 10, 2017, on The CW.","The fourth season of The Flash premiered on October 10, 2017.",0,0.6363636363636364,0,0.9090909090909091,0.9355920553207397,0.06440794467926025,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_2255,what is the meaning of hypertext markup language,HTML Hypertext Markup Language (HTML) is the standard markup language for creating web pages and web applications. With Cascading Style Sheets (CSS) and JavaScript it forms a triad of cornerstone technologies for the World Wide Web.[2] Web browsers receive HTML documents from a web server or from local storage and render them into multimedia web pages. HTML describes the structure of a web page semantically and originally included cues for the appearance of the document.,Hypertext Markup Language (HTML) is a markup language used to structure content on the web.,0,0.2222222222222222,0,0.33333333333333337,0.9351053237915039,0.0648946762084961,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_3919,everything you need to know about all quiet on the western front,"All Quiet on the Western Front All Quiet on the Western Front (German: Im Westen nichts Neues, lit.Â 'In the West Nothing New') is a novel by Erich Maria Remarque, a German veteran of World War I. The book describes the German soldiers' extreme physical and mental stress during the war, and the detachment from civilian life felt by many of these soldiers upon returning home from the front.","All Quiet on the Western Front is a novel by Erich Maria Remarque set during World War I, focusing on German soldiers' experiences and the impact of war on them emotionally and psychologically.",0,0.4888888888888889,0,0.625,0.9330229163169861,0.06697708368301392,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_2375,whats the difference between a coach and a bus,"Coach (bus) A coach (also motor coach) is a type of bus used for conveying passengers. In contrast to transit buses that typically used within a single metropolitan region, coaches are used for longer-distance bus service. Often used for intercity—or even international—bus service, other coaches are also used for private charter for various purposes.","A coach is a large passenger vehicle used for transporting people over long distances, often for sports teams or tours. A bus is similar but is generally used for public transportation or regular passenger services.",0,0.25581395348837205,0,0.0,0.9330002665519714,0.06699973344802856,Semantic relatedness may be high while key factual units differ.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_382,when was animal testing for cosmetics banned in the uk,Testing cosmetics on animals Animal testing on cosmetics or their ingredients was banned in the UK in 1998.[33],"Animal testing for cosmetics was banned in the UK on April 11, 2009.",0,0.5333333333333333,0,0.25,0.9307730197906494,0.06922698020935059,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_1652,what is net present value in simple terms,"Net present value In finance, the net present value (NPV) or net present worth (NPW)[1] is a measurement of profit calculated by subtracting the present values (PV) of cash outflows (including initial cost) from the present values of cash inflows over a period of time.[2] Incoming and outgoing cash flows can also be described as benefit and cost cash flows, respectively.[3]","Net Present Value (NPV) is the difference between the present value of cash inflows and outflows, used to assess the profitability of an investment.",0,0.3291139240506329,0,0.0,0.9178953170776367,0.08210468292236328,Semantic relatedness may be high while key factual units differ.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_2719,who played lois lane in the original superman,"Margot Kidder Margaret Ruth Kidder (October 17, 1948 – May 13, 2018), professionally known as Margot Kidder, was a Canadian-American actress and activist. She rose to fame in 1978 for her role as Lois Lane in the Superman film series, alongside Christopher Reeve.",Lois Lane in the original Superman film (1978) was played by Margot Kidder.,0,0.339622641509434,0,0.4210526315789474,0.9170836806297302,0.08291631937026978,Manual review needed for factual equivalence.
