stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1
baseline,Exact match,lexical_baseline,correct_label,exact_match,reference_answer,48,452,0.125,0.0,0.125,0.5,0.916,1.0,0.125,0.2222222222222222,0.5625,0.20900000000000002,0.01,0.916,1.0,0.125,0.2222222222222222
baseline,Ground-truth containment,lexical_baseline,correct_label,contains_ground_truth,reference_answer,48,452,0.875,0.0,0.875,0.5,0.988,1.0,0.875,0.9333333333333333,0.9375,0.887,0.01,0.988,1.0,0.875,0.9333333333333333
baseline,Token F1,lexical_baseline,correct_label,token_f1,reference_answer,48,452,0.3488879275088399,0.11276696165989927,0.23612096584894063,0.8,0.918,1.0,0.14583333333333334,0.2545454545454545,0.7745436946902655,0.39002153612093926,0.4,0.896,0.4473684210526316,0.3541666666666667,0.3953488372093023
baseline,Entity/token overlap,structured_baseline,correct_label,entity_overlap,reference_answer,48,452,0.39345238095238094,0.09050436339933997,0.30294801755304096,0.75,0.906,0.5384615384615384,0.14583333333333334,0.22950819672131148,0.7716860250737463,0.3385228105228105,0.38,0.882,0.4153846153846154,0.5625,0.4778761061946903
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,48,452,0.5448589172835151,0.34946908073412747,0.19538983654938763,0.75,0.876,0.28125,0.1875,0.225,0.7054756637168141,0.2982512054677674,0.37,0.602,0.1703056768558952,0.8125,0.2815884476534296
baseline,Hybrid 0.7*embedding+0.3*overlap: sentence-transformers/all-MiniLM-L6-v2,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,48,452,0.4994369563841749,0.2717796655336912,0.2276572908504837,0.75,0.902,0.4666666666666667,0.14583333333333334,0.2222222222222222,0.7627212389380532,0.3216462281447726,0.43,0.748,0.21739130434782608,0.625,0.3225806451612903
baseline,Embedding cosine: BAAI/bge-base-en-v1.5,embedding,correct_label,similarity_BAAI_bge_base_en_v1.5,reference_answer,48,452,0.6889264105508724,0.5608941498583397,0.1280322606925327,0.75,0.818,0.19718309859154928,0.2916666666666667,0.23529411764705882,0.7111449115044248,0.29909668810765705,0.79,0.86,0.28,0.2916666666666667,0.2857142857142857
baseline,Hybrid 0.7*embedding+0.3*overlap: BAAI/bge-base-en-v1.5,hybrid_ablation,correct_label,hybrid_BAAI_bge_base_en_v1.5,reference_answer,48,452,0.6002842016713251,0.41977721392063977,0.18050698775068535,0.75,0.896,0.3888888888888889,0.14583333333333334,0.21212121212121213,0.7918971238938053,0.34683046573088394,0.62,0.864,0.3275862068965517,0.3958333333333333,0.3584905660377358
unit1,Reference validation v2: sentence-transformers/all-MiniLM-L6-v2,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.5456893298154076,0.3504823652430658,0.19520696457234182,0.75,0.876,0.28125,0.1875,0.225,0.7052912979351031,0.29805283414887984,0.37,0.604,0.17391304347826086,0.8333333333333334,0.28776978417266186
unit1,Reference validation v2: BAAI/bge-base-en-v1.5,embedding_v2,correct_label,similarity_v2_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.6897550063828627,0.5604781702952047,0.12927683608765794,0.75,0.82,0.2,0.2916666666666667,0.23728813559322035,0.7110527286135693,0.2985056499953835,0.79,0.86,0.28,0.2916666666666667,0.2857142857142857
unit2,Reference validation + 0.5 span blend: sentence-transformers/all-MiniLM-L6-v2,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.631466347258538,0.36657490126848624,0.26489144599005177,0.75,0.896,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.7925424041297935,0.4095321488507673,0.69,0.874,0.38095238095238093,0.5,0.43243243243243246
unit2,Reference validation + 0.5 span blend: BAAI/bge-base-en-v1.5,prediction_span_ablation,correct_label,prediction_span_blend_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7390130003914237,0.5654184515958867,0.17359454879553704,0.75,0.854,0.34177215189873417,0.5625,0.4251968503937008,0.7879793510324484,0.44685859997418276,0.78,0.89,0.4406779661016949,0.5416666666666666,0.48598130841121495
