dataset,task_type,model,failure_kind,label_field,score_field,reference_field,id,question,ground_truth,evaluation_reference,reference_answer_source,reference_evidence,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,number_conflict,date_conflict,entity_conflict,list_item_f1,specificity_flag,factual_conflict_penalty,similarity,distance,explanation_hint
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_203,what's the population of pinellas county florida,"Pinellas County, Florida Pinellas County is a county located in the state of Florida.[3] As of the 2010 census, the population was 916,542.[4] The county is part of the Tampa–St. Petersburg–Clearwater, Florida Metropolitan Statistical Area.[3] Clearwater is the county seat,[5] and St. Petersburg is the largest city.[3]","Pinellas County, Florida Pinellas County is a county located in the state of Florida. As of the 2010 census, the population was 916,542. The county is part of the Tampa–St",nq_evidence_sentence,"Pinellas County, Florida Pinellas County is a county located in the state of Florida. As of the 2010 census, the population was 916,542. The county is part of the Tampa–St","The population of Pinellas County, Florida is approximately 1,083,460 as of 2023.",0,0.4102564102564103,0,0.3529411764705882,1,1,0,0.125,conflict,0.93125,0.9361450672149658,0.06385493278503418,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_308,what is the use of jar file in java,"JAR (file format) A JAR (Java ARchive) is a package file format typically used to aggregate many Java class files and associated metadata and resources (text, images, etc.) into one file for distribution.[3]",JAR A JAR is a package file format typically used to aggregate many Java class files and associated metadata and resources into one file for distribution,nq_evidence_sentence,JAR A JAR is a package file format typically used to aggregate many Java class files and associated metadata and resources into one file for distribution,A jar file in Java is used to package classes and resources into a single file for distribution and deployment.,0,0.6666666666666666,0,1.0,0,0,0,0.0,under_specific_prediction,0.0,0.9266118407249451,0.07338815927505493,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_394,what are the teams in the little league world series,"Little League World Series The Little League World Series consists of 16 teams–8 from the United States, and 8 from other countries. Prior to 2001 there were eight teams in the LLWS: four U.S. teams (Central, South, East, and West) and four international (Canada, Latin America, Europe, and the Far East). It should be noted that in 1975 there were only four teams in the LLWS, all from the United States.[6] The international teams returned in 1976.[6] Starting in 1976, two brackets were established, with the four U.S. regions competing in the U.S. bracket and the four non-U.S. regions competing in the International bracket. The U.S. national champion and the International champion then compete for the World Series title.[6]","Little League World Series The Little League World Series consists of 16 teams–8 from the United States, and 8 from other countries",nq_evidence_sentence,"Little League World Series The Little League World Series consists of 16 teams–8 from the United States, and 8 from other countries","The Little League World Series features 10 teams, typically 8 from the U.S. and 2 international teams.",0,0.4324324324324324,0,0.25,1,0,0,0.20000000000000004,conflict,0.57,0.9258463978767395,0.0741536021232605,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_110,compare the speed of sound in solid liquid and gas media,"Speed of sound In common everyday speech, speed of sound refers to the speed of sound waves in air. However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. For example, (as noted above), sound travels at 343 m/s in air; it travels at 1,484 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). In an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (26,843Â mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.","However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids",nq_evidence_sentence,"However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids","Sound travels fastest in solids, slower in liquids, and slowest in gases.",0,0.48648648648648657,0,0.0,0,0,1,0.0,conflict,0.25,0.9001238346099854,0.09987616539001465,Semantic relatedness may be high while key factual units differ.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_371,is nigeria still a member of united nation,"Nigeria and the United Nations Nigeria is a member of the United Nations. Nigeria did not become independent of the United Kingdom until 1960, while the United Nations had already been established by the Declaration by the United Nations in 1942. Tijjani Muhammad-Bande[3] is the permanent representative of Nigeria.[4]",Nigeria and the United Nations Nigeria is a member of the United Nations,nq_evidence_sentence,Nigeria and the United Nations Nigeria is a member of the United Nations,"Yes, Nigeria is still a member of the United Nations.",0,0.6666666666666665,0,0.6666666666666666,0,0,0,0.5,partial_overlap,0.0,0.8773260712623596,0.12267392873764038,High semantic score with partial lexical overlap; inspect specificity.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_184,where did the bald eagle get its name,"Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed"". The adult is mainly brown with a white head and tail. The sexes are identical in plumage, but females are about 25 percent larger than males. The beak is large and hooked. The plumage of the immature is brown.","Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed""",nq_evidence_sentence,"Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed""","The bald eagle got its name from the Old English word ""bald,"" which means white.",0,0.4666666666666667,0,0.0,0,0,1,0.0,conflict,0.25,0.8759098649024963,0.12409013509750366,Semantic relatedness may be high while key factual units differ.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_297,when is the latin american celebration of carnival held,"Carnival Carnival (see other spellings and names) is a Western Christian festive season that occurs before the liturgical season of Lent.[2] The main events typically occur during February or early March, during the period historically known as Shrovetide (or Pre-Lent). Carnival typically involves a public celebration and/or parade combining some elements of a circus, masks, and a public street party. People wear masks and costumes during many such celebrations, allowing them to lose their everyday individuality and experience a heightened sense of social unity.[3] Excessive consumption of alcohol,[4] meat, and other foods proscribed during Lent is extremely common. Other common features of carnival include mock battles such as food fights; social satire and mockery of authorities; the grotesque body displaying exaggerated features, especially large noses, bellies, mouths, and phalli, or elements of animal bodies; abusive language and degrading acts; depictions of disease and gleeful death; and a general reversal of everyday rules and norms.[3][5]","Carnival Carnival is a Western Christian festive season that occurs before the liturgical season of Lent. The main events typically occur during February or early March, during the period historically known as Shrovetide",nq_evidence_sentence,"Carnival Carnival is a Western Christian festive season that occurs before the liturgical season of Lent. The main events typically occur during February or early March, during the period historically known as Shrovetide","Carnival is typically held before Lent, specifically between late winter and early spring, varying by country but often in February or March.",0,0.35294117647058826,0,0.5454545454545454,0,0,1,0.0,conflict,0.25,0.8595480918884277,0.14045190811157227,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_187,what is commission on human rights of the philippines,"Commission on Human Rights (Philippines) The Commission on Human Rights (CHR) is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil and political rights in the Philippines.[2]","Commission on Human Rights The Commission on Human Rights is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil.",nq_evidence_sentence,"Commission on Human Rights The Commission on Human Rights is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil and political rights in the Philippines",The Commission on Human Rights of the Philippines is an independent quasi-judicial body responsible for the promotion and protection of human rights.,0,0.44000000000000006,0,0.4444444444444444,0,0,0,0.0,under_specific_prediction,0.0,0.8396743535995483,0.16032564640045166,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_454,when do you get given an eternity ring,"Eternity ring An eternity ring, also known as an infinity ring, is a woman's ring[citation needed] comprising a band of precious metal (usually gold) set with a continuous line of identically cut gemstones (usually diamonds)[1] to symbolize neverending love, usually given by a spouse to their wife on the occasion of a significant anniversary, typically after 1 or more years of marriage date[citation needed] Because the presence of stones all the way round the eternity ring can make it cumbersome to wear, the alternative is to have the stones across the face of the ring only. This is sometimes referred to as a ""half-eternity"" ring rather than a ""full"" eternity ring.[citation needed]","Eternity ring An eternity ring, also known as an infinity ring, is a woman's ring comprising a band of precious metal set with a continuous line of identically cut gemstones to symbolize neverending love, usually given.",nq_evidence_sentence,"Eternity ring An eternity ring, also known as an infinity ring, is a woman's ring comprising a band of precious metal set with a continuous line of identically cut gemstones to symbolize neverending love, usually given by a spouse to their wife on the occasion of a significant anniversary, typically after 1 or more years of marriage date Because the presence of stones all the way round the eternity ring can make it cumbersome to wear, the alternative is to have the stones across the face of the ring only","An eternity ring is typically given as a gift to symbolize eternal love, often as an anniversary present or a special token of devotion.",0,0.34615384615384615,0,0.6666666666666666,0,0,0,0.0,under_specific_prediction,0.0,0.807378351688385,0.192621648311615,Manual review needed for factual equivalence.
nq,long_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,sample_320,to whom did the portuguese lose malacca in 1641,"Portuguese Malacca The Dutch with their local allies assaulted and finally wrested Malacca from the Portuguese in January 1641. This combined Dutch-Johor-Aceh efforts effectively destroyed the last bastion of Portuguese power, reducing their influence in the archipelago. The Dutch settled in the city as Dutch Malacca, however the Dutch had no intention to make Malacca their main base, and concentrated on building Batavia (today Jakarta) as their headquarters in the orient instead. The Portuguese ports in the spice-producing areas of Mollucas also fell to the Dutch in the following years. With these conquests, the last Portuguese colonies in Asia remained confined to Portuguese Timor, Goa, Daman and Diu in Portuguese India and Macau until the 20th century.",Portuguese Malacca The Dutch with their local allies assaulted and finally wrested Malacca from the Portuguese in January 1641,nq_evidence_sentence,Portuguese Malacca The Dutch with their local allies assaulted and finally wrested Malacca from the Portuguese in January 1641,The Portuguese lost Malacca to the Dutch in 1641.,0,0.4166666666666667,0,0.4444444444444445,0,0,0,0.5,partial_overlap,0.0,0.8028122186660767,0.19718778133392334,Manual review needed for factual equivalence.
