dataset,task_type,model,failure_kind,id,question,ground_truth,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,similarity,distance,explanation_hint
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_72,which country is John Berry from,United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.9037065505981445,0.09629344940185547,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_322,which country is Harvey Kurtzman from,United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.9037065505981445,0.09629344940185547,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_31,"which country does Harry Blackstone, Jr. come from",United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.9037064909934998,0.09629350900650024,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_169,where did the tv program Your Show Time originate from?,United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.9037064909934998,0.09629350900650024,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_355,what country made the film  The Rejected Woman,United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.9037064909934998,0.09629350900650024,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_63,what country is Anthony Lane from,United States of America,United States,0,0.6666666666666666,0,0.6666666666666666,0.903706431388855,0.09629356861114502,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_107,Leo Durocher is what in relation to baseball?,baseball manager,Baseball player and manager,0,0.6666666666666666,0,0.0,0.9008243083953857,0.09917569160461426,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_139,what is constance markiewicz's religion?,Catholicism,Roman Catholic,0,0.0,0,0.0,0.8694711923599243,0.13052880764007568,Semantic relatedness may be high while key factual units differ.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_214,what religion is Vinny deMacedo a part of,Catholicism,Roman Catholic,0,0.0,0,0.0,0.8694711923599243,0.13052880764007568,Semantic relatedness may be high while key factual units differ.
simple_questions_wiki,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_473,Which genre of music is on the album titled Underclass Hero,pop punk,Punk rock,0,0.5,0,0.0,0.862460196018219,0.137539803981781,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_139,what is constance markiewicz's religion?,Catholicism,Roman Catholic,0,0.0,0,0.0,0.8639088273048401,0.1360911726951599,Semantic relatedness may be high while key factual units differ.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_214,what religion is Vinny deMacedo a part of,Catholicism,Roman Catholic,0,0.0,0,0.0,0.8639088273048401,0.1360911726951599,Semantic relatedness may be high while key factual units differ.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_153,What sport is Criciúma Esporte Clube a part of?,association football,Football,0,0.6666666666666666,0,0.0,0.8601401448249817,0.1398598551750183,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_107,Leo Durocher is what in relation to baseball?,baseball manager,Baseball player and manager,0,0.6666666666666666,0,0.0,0.8427727818489075,0.15722721815109253,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_80,what genre is the book In the Line of Fire: A Memoir,memoir,Autobiography,0,0.0,0,0.0,0.8205961585044861,0.17940384149551392,Semantic relatedness may be high while key factual units differ.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_19,What type of music Fall Heads Roll,post-punk,Post-metal,0,0.5,0,0.0,0.817476749420166,0.18252325057983398,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_442,what country is the city Chongqing in,People's Republic of China,China,0,0.33333333333333337,0,0.5,0.8121870160102844,0.18781298398971558,Manual review needed for factual equivalence.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_36,what television genre is The Starter Wife?,drama film,Drama,0,0.6666666666666666,0,0.0,0.8055222034454346,0.19447779655456543,High semantic score with partial lexical overlap; inspect specificity.
simple_questions_wiki,short_form,BAAI/bge-base-en-v1.5,high_similarity_wrong,sample_157,what genre is the film On the Nickel,drama film,Drama,0,0.6666666666666666,0,0.0,0.805522084236145,0.19447791576385498,High semantic score with partial lexical overlap; inspect specificity.
