stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,high_similarity_wrong,low_similarity_correct
unit6,Reduced fixed multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_fixed_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6399055852302505,0.2950876590680533,0.34481792616219725,0.75,0.928,0.75,0.375,0.5,0.8638919616519174,0.59793828121681,0.71,0.932,0.7333333333333333,0.4583333333333333,0.5641025641025641,1,14
unit6,Reduced span-precision multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_precision_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.6836782071448396,0.31204465237643936,0.37163355476840026,0.75,0.934,0.7777777777777778,0.4375,0.56,0.8866841814159292,0.6738942475932274,0.63,0.926,0.6078431372549019,0.6458333333333334,0.6262626262626263,1,8
unit6,Reduced span-guarded multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_guarded_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.8117262072178225,0.4098894240796286,0.40183678313819393,0.75,0.944,0.6851851851851852,0.7708333333333334,0.7254901960784313,0.9119653392330384,0.7957382762569679,0.79,0.962,0.8372093023255814,0.75,0.7912087912087912,6,4
unit6,Reduced span-ranked multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_span_ranked_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.864969927733764,0.44583509629315526,0.41913483144060876,0.75,0.91,0.5194805194805194,0.8333333333333334,0.64,0.9161135693215339,0.8118899627918049,0.91,0.964,0.8571428571428571,0.75,0.8,18,4
unit6,Reduced semantic-recall multi-view hybrid: sentence-transformers/all-MiniLM-L6-v2,multi_view_hybrid_scoring,correct_label,unit6_semantic_recall_multi_view_hybrid_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,48,452,0.5961329633156613,0.27831921907579654,0.3178137442398648,0.75,0.918,0.7058823529411765,0.25,0.36923076923076925,0.8379194321533923,0.5198890158366382,0.62,0.916,0.5681818181818182,0.5208333333333334,0.5434782608695652,1,17
unit6,Reduced fixed multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_fixed_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7150970964692535,0.4452600980559065,0.26983699841334696,0.75,0.93,0.7096774193548387,0.4583333333333333,0.5569620253164557,0.871589233038348,0.6155650235478373,0.69,0.922,0.6097560975609756,0.5208333333333334,0.5617977528089888,7,4
unit6,Reduced span-precision multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_precision_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.7456472032858681,0.45576775815790677,0.2898794451279613,0.75,0.928,0.6875,0.4583333333333333,0.55,0.8923303834808259,0.6722810098245683,0.82,0.942,0.88,0.4583333333333333,0.6027397260273972,9,4
unit6,Reduced span-guarded multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_guarded_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.8536960227042437,0.5570751627091336,0.2966208599951101,0.75,0.93,0.5942028985507246,0.8541666666666666,0.7008547008547008,0.9243178466076696,0.81333642490912,0.82,0.96,0.8333333333333334,0.7291666666666666,0.7777777777777778,11,3
unit6,Reduced span-ranked multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_span_ranked_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.9049045681891341,0.6060920060366176,0.2988125621525165,0.75,0.844,0.3706896551724138,0.8958333333333334,0.524390243902439,0.9289730825958702,0.8454361786665647,0.85,0.964,0.8125,0.8125,0.8125,33,1
unit6,Reduced semantic-recall multi-view hybrid: BAAI/bge-base-en-v1.5,multi_view_hybrid_scoring,correct_label,unit6_semantic_recall_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,48,452,0.6845469896526386,0.4347524379539063,0.24979455169873233,0.75,0.928,0.7,0.4375,0.5384615384615384,0.8480825958702064,0.5438182661569029,0.67,0.912,0.5416666666666666,0.5416666666666666,0.5416666666666666,8,8
