question,correct_answer,id,dataset,ground_truth,prompt,prediction,reference_answer,reference_answer_source,reference_evidence,exact_match,token_f1,contains_ground_truth,contains_prediction_in_reference,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5,entity_overlap,hybrid_sentence_transformers_all_MiniLM_L6_v2,hybrid_BAAI_bge_base_en_v1.5,result_group,dataset_result,task_type,model,failure_kind,active_similarity,distance,human_category,human_type,human_rationale
"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",active metal,sample_10,sciq,active metal,"Answer the following science question with a short phrase.

Question: Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?

Answer:",active,active metal,ground_truth,active metal,0,0.6666666666666666,0,0,0,0.5899034738540649,0.8021409511566162,0.6666666666666666,0.6129324316978455,0.7614986658096312,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8021409511566162,0.1978590488433838,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.
What is controlled by both genes and experiences in a given envionment?,animal behaviors,sample_11,sciq,animal behaviors,"Answer the following science question with a short phrase.

Question: What is controlled by both genes and experiences in a given envionment?

Answer:",Behavior,animal behaviors,ground_truth,animal behaviors,0,0.6666666666666666,0,0,0,0.607286810874939,0.8763945698738098,0.0,0.42510076761245724,0.6134761989116668,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8763945698738098,0.12360543012619019,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.
What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,sample_14,sciq,gene transcription,"Answer the following science question with a short phrase.

Question: What is controlled by regulatory proteins that bind to regulatory elements on dna?

Answer:",Gene expression,gene transcription,ground_truth,gene transcription,0,0.5,0,0,0,0.7839295268058777,0.8610606789588928,0.0,0.5487506687641144,0.6027424752712249,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8610606789588928,0.13893932104110718,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant."
What phenomenon is primarily the result of plate tectonic motions?,earthquake,sample_41,sciq,earthquake,"Answer the following science question with a short phrase.

Question: What phenomenon is primarily the result of plate tectonic motions?

Answer:",Earthquakes,earthquake,ground_truth,earthquake,0,0.0,0,0,0,0.9081757068634033,0.9273387789726257,0.0,0.6357229948043823,0.649137145280838,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.9273387789726257,0.07266122102737427,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,sample_57,sciq,carbohydrate molecules,"Answer the following science question with a short phrase.

Question: Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?

Answer:",food molecules,carbohydrate molecules,ground_truth,carbohydrate molecules,0,0.5,0,0,0,0.695904552936554,0.8517605662345886,0.5,0.6371331870555877,0.746232396364212,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8517605662345886,0.14823943376541138,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant."
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,sample_63,sciq,primary succession,"Answer the following science question with a short phrase.

Question: What's the term for the gradual progression from simple plants to larger more complex ones in an area?

Answer:",Succession,primary succession,ground_truth,primary succession,0,0.6666666666666666,0,0,0,0.8740105032920837,0.819545328617096,0.0,0.6118073523044586,0.5736817300319671,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.819545328617096,0.18045467138290405,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.
What consequence of a tornado is responsible for most injuries and deaths?,flying debris,sample_66,sciq,flying debris,"Answer the following science question with a short phrase.

Question: What consequence of a tornado is responsible for most injuries and deaths?

Answer:",Debris impact,flying debris,ground_truth,flying debris,0,0.5,0,0,0,0.7417299747467041,0.8136398792266846,0.0,0.5192109823226928,0.5695479154586791,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8136398792266846,0.18636012077331543,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant."
An endocrine disease usually involves the secretion of too much or not enough of what?,hormone,sample_82,sciq,hormone,"Answer the following science question with a short phrase.

Question: An endocrine disease usually involves the secretion of too much or not enough of what?

Answer:",hormones,hormone,ground_truth,hormone,0,0.0,0,0,0,0.8980160355567932,0.912589430809021,0.0,0.6286112248897552,0.6388126015663147,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.912589430809021,0.087410569190979,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,sample_88,sciq,reproductive organs,"Answer the following science question with a short phrase.

Question: Most of the pathogens that cause stis enter the body through mucous membranes of which organs?

Answer:",Sexual organs.,reproductive organs,ground_truth,reproductive organs,0,0.5,0,0,0,0.8157496452331543,0.8409343957901001,0.0,0.571024751663208,0.58865407705307,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8409343957901001,0.1590656042098999,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant."
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,sample_95,sciq,ice wedging,"Answer the following science question with a short phrase.

Question: When water goes above and below its freezing point, what rock-breaking phenomenon is common?

Answer:",Frost wedging,ice wedging,ground_truth,ice wedging,0,0.5,0,0,0,0.8144584894180298,0.8935739398002625,0.0,0.5701209425926208,0.6255017578601837,baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,0.8935739398002625,0.10642606019973755,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant."
