run_id,stage,model,method,family,label_field,score_field,reference_field,fixed_threshold,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_f1,high_similarity_wrong,low_similarity_correct,interpretation
unit7_check,baseline,BGE,Sentence embedding baseline,embedding,correct_label,similarity_BAAI_bge_base_en_v1.5,reference_answer,0.75,0.197,0.292,0.235,0.711,0.299,0.79,0.286,31,5,"Useful after reference extraction, but still weak as a standalone correctness proxy."
unit7_check,baseline,BGE,Original embedding/overlap hybrid,hybrid_ablation,correct_label,hybrid_BAAI_bge_base_en_v1.5,reference_answer,0.75,0.389,0.146,0.212,0.792,0.347,0.62,0.358,6,13,"Lexical overlap helps ranking, but the fixed threshold remains brittle."
unit7_check,unit1,BGE,Unit 1 reference validation,embedding_v2,correct_label,similarity_v2_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.200,0.292,0.237,0.711,0.299,0.79,0.286,33,4,Reference validation cleans artifacts without materially changing ranking.
unit7_check,unit2,BGE,Unit 2 prediction-span blend,prediction_span_ablation,correct_label,prediction_span_blend_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.342,0.562,0.425,0.788,0.447,0.78,0.486,29,4,Prediction-span extraction improves recall and fixed F1 for both embedding models.
unit7_check,unit3,BGE,Unit 3 span max similarity,span_similarity_ablation,correct_label,span_max_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.301,0.896,0.450,0.926,0.812,0.91,0.817,56,1,"Strongest single ranking feature, but it can inflate high-similarity wrong cases."
unit7_check,unit4,BGE,Unit 4 conflict-adjusted span max,factual_conflict_penalty,correct_label,factual_conflict_adjusted_span_max_similarity_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.393,0.875,0.542,0.928,0.818,0.85,0.812,25,1,Factual conflict penalty restores precision while preserving span-level ranking gains.
unit7_check,unit4,BGE,Unit 4 conflict-adjusted conservative score,factual_conflict_penalty,correct_label,factual_conflict_adjusted_multi_view_score_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.472,0.521,0.495,0.818,0.566,0.79,0.568,14,5,"Useful precision guard, especially for BGE high-similarity wrong cases."
unit7_check,unit6,BGE,Unit 6 reduced fixed hybrid,multi_view_hybrid_scoring,correct_label,unit6_fixed_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.710,0.458,0.557,0.872,0.616,0.69,0.562,7,4,Reduced hybrid beats the original BGE hybrid and confirms Unit 5 can be skipped.
unit7_check,unit6,BGE,Unit 6 span-guarded hybrid,multi_view_hybrid_scoring,correct_label,unit6_span_guarded_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.594,0.854,0.701,0.924,0.813,0.82,0.778,11,3,Best global fixed-threshold operating point on NQ 500.
unit7_check,unit6,BGE,Unit 6 span-ranked hybrid,multi_view_hybrid_scoring,correct_label,unit6_span_ranked_multi_view_hybrid_score_BAAI_bge_base_en_v1.5,reference_answer_v2,0.75,0.371,0.896,0.524,0.929,0.845,0.85,0.812,33,1,Best ranking-oriented operating point by PR-AUC and best-threshold F1.
unit7_check,baseline,MiniLM,Sentence embedding baseline,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0.75,0.281,0.188,0.225,0.705,0.298,0.37,0.282,11,24,"Useful after reference extraction, but still weak as a standalone correctness proxy."
unit7_check,baseline,MiniLM,Original embedding/overlap hybrid,hybrid_ablation,correct_label,hybrid_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0.75,0.467,0.146,0.222,0.763,0.322,0.43,0.323,4,25,"Lexical overlap helps ranking, but the fixed threshold remains brittle."
unit7_check,unit1,MiniLM,Unit 1 reference validation,embedding_v2,correct_label,similarity_v2_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0.75,0.281,0.188,0.225,0.705,0.298,0.37,0.288,11,24,Reference validation cleans artifacts without materially changing ranking.
unit7_check,unit2,MiniLM,Unit 2 prediction-span blend,prediction_span_ablation,correct_label,prediction_span_blend_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0.75,0.444,0.333,0.381,0.793,0.410,0.69,0.432,10,16,Prediction-span extraction improves recall and fixed F1 for both embedding models.
unit7_check,unit3,MiniLM,Unit 3 span max similarity,span_similarity_ablation,correct_label,span_max_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0.75,0.430,0.833,0.567,0.913,0.766,0.92,0.796,37,4,"Strongest single ranking feature, but it can inflate high-similarity wrong cases."
unit7_check,unit4,MiniLM,Unit 4 conflict-adjusted span max,factual_conflict_penalty,correct_label,factual_conflict_adjusted_span_max_similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0.75,0.520,0.812,0.634,0.917,0.795,0.90,0.800,20,4,Factual conflict penalty restores precision while preserving span-level ranking gains.
unit7_check,unit4,MiniLM,Unit 4 conflict-adjusted conservative score,factual_conflict_penalty,correct_label,factual_conflict_adjusted_multi_view_score_sentence_transformers_all_MiniLM_L6_v2,reference_answer_v2,0.75,0.643,0.375,0.474,0.821,0.512,0.70,0.510,3,15,"Useful precision guard, especially for BGE high-similarity wrong cases."
