dataset,model,failure_kind,human_type,count,percentage
results_sciq_5000,BGE,high_similarity_wrong,morphology_or_inflection,5,10.0
results_sciq_5000,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_sciq_5000,BGE,high_similarity_wrong,other_or_true_semantic_error,11,22.0
results_sciq_5000,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,7,14.0
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,10,20.0
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,16,32.0
results_sciq_5000,MiniLM,high_similarity_wrong,morphology_or_inflection,5,10.0
results_sciq_5000,MiniLM,high_similarity_wrong,numeric_equivalence,4,8.0
results_sciq_5000,MiniLM,high_similarity_wrong,other_or_true_semantic_error,7,14.0
results_sciq_5000,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,9,18.0
results_sciq_5000,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,7,14.0
results_sciq_5000,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,18,36.0
results_sciq_5000,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,22,59.5
results_sciq_5000,MiniLM,low_similarity_correct,numeric_equivalence,3,8.1
results_sciq_5000,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,32.4
