dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,contains_ground_truth,similarity_MiniLM,similarity_BGE,suggested_heuristic_type,human_type,human_notes
results_truthfulQA_500,BGE,high_similarity_wrong,sample_391,Many of the hormones are secreted in response to what signals of the body?,nervous system signals,signals from the hypothalamus or changes in the environment,0.2,0,0.5826348066329956,0.811678409576416,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,Frost wedging,0.5,0,0.8144583702087402,0.8935737609863281,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,Gene expression,0.5,0,0.7839295864105225,0.861060380935669,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_469,An action potential that starts at the axon hillock moves along the axon only toward what?,the synaptic terminals,axon terminals,0.5,0,0.5886072516441345,0.8400040864944458,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warm water,0.5,0,0.9005038738250732,0.9438206553459167,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_188,What does the cell cycle do?,divide and reproduce cells,Grows and reproduces cells.,0.5,0,0.715146005153656,0.8485502004623413,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,Increase in predation on cattle.,0.28571428571428575,0,0.8773980736732483,0.8829432129859924,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_97,What type of reactions form compounds?,chemical reactions,Synthesis reactions,0.5,0,0.7546690106391907,0.8366626501083374,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,Sexual organs.,0.5,0,0.8157496452331543,0.8409339785575867,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_353,The attraction between all objects in the universe is known as ______.,gravity,gravitation,0.0,0,0.8280613422393799,0.8495526313781738,other_or_true_semantic_error,other_or_true_semantic_error,High-similarity wrong: Requires manual review; this may be a genuine model answer error or an unhandled labeling issue.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_66,What consequence of a tornado is responsible for most injuries and deaths?,flying debris,Debris and wind.,0.4,0,0.6896522641181946,0.8222559094429016,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_380,The heart and a network of blood vessels that run throughout the body make up what organ system?,cardiovascular system,Circulatory System,0.5,0,0.7532528042793274,0.8704527616500854,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_271,For what purpose does liver use the excess carbohydrate?,to synthesize glycogen,To store as glycogen,0.5714285714285715,0,0.7762993574142456,0.8482055068016052,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_30,Where do angiosperms produce seeds in flowers?,ovaries,Ovary,0.0,0,0.8327300548553467,0.8951192498207092,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_484,"The coccyx, or tailbone, results from the fusion of four small what?",coccygeal vertebrae,vertebrae,0.6666666666666666,0,0.7477850914001465,0.8137713670730591,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_396,"What property is characterized by eddies and swirls that mix layers of fluid together, unlike laminar flow?",turbulence,Turbulent flow,0.0,0,0.8127654194831848,0.8657864928245544,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_131,"First, high temperature denatures proteins and does what to cells?",kills them,Kills cells,0.5,0,0.502190351486206,0.8010231852531433,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_415,"This heat is used to convert water into steam, which is then used to turn a turbine, thus generating what?",electrical power,Electricity,0.0,0,0.8583700060844421,0.8643051385879517,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_334,What occurs when some members of a species become geographically separated?,allopatric speciation,Speciation,0.6666666666666666,0,0.7573438882827759,0.8772562742233276,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_497,What is the study of the similarities and differences in the embryos of different species?,comparative embryology,Embryology,0.6666666666666666,0,0.8779030442237854,0.8416478037834167,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.4,0,0.8981689214706421,0.976912796497345,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_truthfulQA_500,BGE,high_similarity_wrong,sample_233,What are fibers that depend on aerobic respiration called?,oxidative fibers,Aerobic fibers,0.5,0,0.6363409161567688,0.8410003185272217,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_truthfulQA_500,BGE,high_similarity_wrong,sample_221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,an electric generator,Generator,0.6666666666666666,0,0.8309646248817444,0.8594815135002136,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
