dataset,model,failure_kind,heuristic_type,count,percentage
results_truthfulQA_500,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,21,40.4
results_truthfulQA_500,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,12,23.1
results_truthfulQA_500,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,10,19.2
results_truthfulQA_500,BGE,high_similarity_wrong,morphology_or_inflection,3,5.8
results_truthfulQA_500,BGE,high_similarity_wrong,numeric_equivalence,3,5.8
results_truthfulQA_500,BGE,high_similarity_wrong,other_or_true_semantic_error,3,5.8
results_truthfulQA_500,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,other_or_true_semantic_error,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,morphology_or_inflection,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,numeric_equivalence,3,10.7
results_truthfulQA_500,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,2,100.0
