stage,method,family,label_field,score_field,reference_field,num_correct,num_incorrect,correct_mean,incorrect_mean,gap,fixed_threshold,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,roc_auc,pr_auc,best_threshold,best_accuracy,best_precision,best_recall,best_f1,high_similarity_wrong,low_similarity_correct,dataset,task_type,embedding_model,question_type,threshold_scope,calibration_status,skip_reason,num_examples,num_positive,num_negative,score_std,cv_num_folds,cv_selected_thresholds,cv_mean_selected_threshold,cv_threshold_std
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,48,452,0.5448589172835151,0.34946908073412747,0.19538983654938763,0.75,0.876,0.28125,0.1875,0.225,0.7054756637168141,0.2982512054677674,0.37,0.602,0.1703056768558952,0.8125,0.2815884476534296,11,24,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,all,dataset_global,dataset_reference,,500,48,452,0.24785822595061158,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,1,30,0.7002317905426025,0.5620361318190893,0.13819565872351325,0.75,0.8064516129032258,0.0,0.0,0.0,0.6333333333333333,0.08333333333333333,0.67,0.6451612903225806,0.08333333333333333,1.0,0.15384615384615385,3,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,global_fixed,reporting_only,,31,1,30,0.23004152935021807,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,1,30,0.7002317905426025,0.5620361318190893,0.13819565872351325,0.75,0.8064516129032258,0.0,0.0,0.0,0.6333333333333333,0.08333333333333333,0.67,0.6451612903225806,0.08333333333333333,1.0,0.15384615384615385,3,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,definition,inherited_global,skipped,num_examples<50,31,1,30,0.23004152935021807,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,3,101,0.5372781852881113,0.4758345058814871,0.06144367940662421,0.75,0.9038461538461539,0.0,0.0,0.0,0.5874587458745875,0.053635253635253635,0.69,0.8653846153846154,0.07692307692307693,0.3333333333333333,0.125,4,2,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,global_fixed,reporting_only,,104,3,101,0.20650611231422436,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,3,101,0.5372781852881113,0.4758345058814871,0.06144367940662421,0.75,0.9038461538461539,0.0,0.0,0.0,0.5874587458745875,0.053635253635253635,0.69,0.8653846153846154,0.07692307692307693,0.3333333333333333,0.125,4,2,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,general,inherited_global,skipped,num_positive<10,104,3,101,0.20650611231422436,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,2,nan,0.34680095314979553,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,global_fixed,reporting_only,,2,0,2,0.09800168871879578,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,0,2,nan,0.34680095314979553,nan,0.75,1.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,list,inherited_global,skipped,num_examples<50,2,0,2,0.09800168871879578,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,2,21,0.8795716464519501,0.28944136923001634,0.5901302772219337,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,global_fixed,reporting_only,,23,2,21,0.2669767670028987,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,2,21,0.8795716464519501,0.28944136923001634,0.5901302772219337,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,0,0,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,number,inherited_global,skipped,num_examples<50,23,2,21,0.2669767670028987,,,,
baseline,Embedding cosine: sentence-transformers/all-MiniLM-L6-v2,embedding,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,reference_answer,10,90,0.4152285285294056,0.3547077545689212,0.06052077396048444,0.75,0.85,0.0,0.0,0.0,0.6166666666666666,0.13406006914558666,0.33,0.6,0.1875,0.9,0.3103448275862069,2,8,nq,long_form,sentence-transformers/all-MiniLM-L6-v2,when,global_fixed,reporting_only,,100,10,90,0.2246554222242858,,,,
