dataset,model,failure_kind,heuristic_type,count,percentage
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,140,28.4
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,119,24.1
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,94,19.1
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,78,15.8
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,43,8.7
results_nq,BGE,high_similarity_wrong,numeric_equivalence,19,3.9
results_nq,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,67,26.6
results_nq,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,54,21.4
results_nq,MiniLM,high_similarity_wrong,morphology_or_inflection,41,16.3
results_nq,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,38,15.1
results_nq,MiniLM,high_similarity_wrong,other_or_true_semantic_error,34,13.5
results_nq,MiniLM,high_similarity_wrong,numeric_equivalence,18,7.1
results_nq,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,25,62.5
results_nq,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,30.0
results_nq,MiniLM,low_similarity_correct,numeric_equivalence,3,7.5
results_sciq_5000,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,130,27.1
results_sciq_5000,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,121,25.3
results_sciq_5000,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,93,19.4
results_sciq_5000,BGE,high_similarity_wrong,other_or_true_semantic_error,78,16.3
results_sciq_5000,BGE,high_similarity_wrong,morphology_or_inflection,42,8.8
results_sciq_5000,BGE,high_similarity_wrong,numeric_equivalence,15,3.1
results_sciq_5000,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,72,29.9
results_sciq_5000,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,50,20.7
results_sciq_5000,MiniLM,high_similarity_wrong,morphology_or_inflection,40,16.6
results_sciq_5000,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,33,13.7
results_sciq_5000,MiniLM,high_similarity_wrong,other_or_true_semantic_error,31,12.9
results_sciq_5000,MiniLM,high_similarity_wrong,numeric_equivalence,15,6.2
results_sciq_5000,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,22,59.5
results_sciq_5000,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,32.4
results_sciq_5000,MiniLM,low_similarity_correct,numeric_equivalence,3,8.1
results_truthfulQA_500,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,21,40.4
results_truthfulQA_500,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,12,23.1
results_truthfulQA_500,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,10,19.2
results_truthfulQA_500,BGE,high_similarity_wrong,morphology_or_inflection,3,5.8
results_truthfulQA_500,BGE,high_similarity_wrong,numeric_equivalence,3,5.8
results_truthfulQA_500,BGE,high_similarity_wrong,other_or_true_semantic_error,3,5.8
results_truthfulQA_500,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,6,21.4
results_truthfulQA_500,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,other_or_true_semantic_error,5,17.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,morphology_or_inflection,3,10.7
results_truthfulQA_500,MiniLM,high_similarity_wrong,numeric_equivalence,3,10.7
results_truthfulQA_500,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,2,100.0
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,133,27.7
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,122,25.4
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,88,18.3
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,77,16.0
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,44,9.1
results_wiki,BGE,high_similarity_wrong,numeric_equivalence,17,3.5
results_wiki,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,68,27.2
results_wiki,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,53,21.2
results_wiki,MiniLM,high_similarity_wrong,morphology_or_inflection,43,17.2
results_wiki,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,36,14.4
results_wiki,MiniLM,high_similarity_wrong,other_or_true_semantic_error,33,13.2
results_wiki,MiniLM,high_similarity_wrong,numeric_equivalence,17,6.8
results_wiki,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,24,68.6
results_wiki,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,8,22.9
results_wiki,MiniLM,low_similarity_correct,numeric_equivalence,3,8.6
