dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,similarity,heuristic_type
results_wiki,BGE,high_similarity_wrong,sample_1016,What type of thin lava forms shapes and tubes as it flows?,pāhoehoe,Pahoehoe,0.000,1.000,semantic_relatedness_not_correctness
results_wiki,BGE,high_similarity_wrong,sample_2182,What two phases does the cell cycle consist of?,interphase and mitotic,Interphase and Mitosis,0.667,0.988,synonym_or_paraphrase_labeling_artifact
results_wiki,BGE,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.982,morphology_or_inflection
results_wiki,BGE,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.979,morphology_or_inflection
results_wiki,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.400,0.977,semantic_relatedness_not_correctness
results_wiki,BGE,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,electron configuration,0.500,0.976,morphology_or_inflection
results_wiki,BGE,high_similarity_wrong,sample_1559,What type of butterfly do birds avoid eating since it makes them sick?,monarch butterflies,Monarch Butterfly,0.500,0.976,morphology_or_inflection
results_wiki,BGE,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.975,morphology_or_inflection
results_wiki,MiniLM,high_similarity_wrong,sample_1016,What type of thin lava forms shapes and tubes as it flows?,pāhoehoe,Pahoehoe,0.000,1.000,semantic_relatedness_not_correctness
results_wiki,MiniLM,high_similarity_wrong,sample_917,Alkaline earth metals are what color?,silvery grey,Silvery gray,0.500,0.982,synonym_or_paraphrase_labeling_artifact
results_wiki,MiniLM,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.979,morphology_or_inflection
results_wiki,MiniLM,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.976,morphology_or_inflection
results_wiki,MiniLM,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.976,morphology_or_inflection
results_wiki,MiniLM,high_similarity_wrong,sample_301,What is another name for composite volcanos?,stratovolcanoes,Stratovolcanos,0.000,0.974,morphology_or_inflection
results_wiki,MiniLM,high_similarity_wrong,sample_1204,What type of disease is caused by pathogens?,infectious diseases,Infectious disease,0.500,0.973,synonym_or_paraphrase_labeling_artifact
results_wiki,MiniLM,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,electron configuration,0.500,0.969,morphology_or_inflection
results_wiki,MiniLM,low_similarity_correct,sample_1659,What is the fracture called when rocks on both sides move?,a fault,Strike-slip fault,0.500,0.499,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_1067,An inclined plane is a good example of what kind of machine?,simple,simple machine,0.667,0.497,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_4360,What is algae easier to covert into that corn is currently used for?,fuel,biofuel,0.000,0.494,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_2643,"Condensation, melting, deposition, sublimation, vaporization, and freezing are all considered changes in what?",state,states of matter,0.000,0.491,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_1394,The logistics of carrying out cellular metabolism sets limits on what physical property of the cell?,size,Cell size,0.667,0.491,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_4879,The enzyme pepsin works only in the presence of what?,acid,acidulent environment,0.000,0.490,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_3366,"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
results_wiki,MiniLM,low_similarity_correct,sample_2146,"In the case of the thyroid hormone pathway, thyroid hormone itself carries out what kind of feedback?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
