dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,similarity,heuristic_type
results_nq,BGE,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.982,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.979,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0.400,0.977,semantic_relatedness_not_correctness
results_nq,BGE,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,electron configuration,0.500,0.976,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_1559,What type of butterfly do birds avoid eating since it makes them sick?,monarch butterflies,Monarch Butterfly,0.500,0.976,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.975,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0.500,0.974,morphology_or_inflection
results_nq,BGE,high_similarity_wrong,sample_2843,"Because opposite charges attract, oppositely charged ions attract each other to form what?",ionic bonds,Ionic bond,0.500,0.974,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_2502,The elements in group 2 are called what?,alkaline earth metals,Alkali earth metals,0.667,0.984,synonym_or_paraphrase_labeling_artifact
results_nq,MiniLM,high_similarity_wrong,sample_805,What creates charged regions in a water molecule?,polar covalent bonds,Polar covalent bond,0.667,0.979,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_3536,The periodic table is an arrangement of the elements in order of increasing what?,atomic numbers,atomic number,0.500,0.976,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_2072,What do you call taxes placed on products that produce carbon dioxide?,carbon taxes,Carbon tax,0.500,0.976,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_301,What is another name for composite volcanos?,stratovolcanoes,Stratovolcanos,0.000,0.974,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_1204,What type of disease is caused by pathogens?,infectious diseases,Infectious disease,0.500,0.973,synonym_or_paraphrase_labeling_artifact
results_nq,MiniLM,high_similarity_wrong,sample_1042,The chemical behavior of elements can largely be explained by what?,electron configurations,electron configuration,0.500,0.969,morphology_or_inflection
results_nq,MiniLM,high_similarity_wrong,sample_3625,What is used to measure current through a resistor?,ammeters,Ammeter,0.000,0.968,morphology_or_inflection
results_nq,MiniLM,low_similarity_correct,sample_1738,"In what process is atp created by glycolysis, without oxygen?",fermentation,Aerobic respiration not applicable here; ATP is produced in glycolysis during an,0.095,0.499,overly_long_answer_context_dilution
results_nq,MiniLM,low_similarity_correct,sample_1659,What is the fracture called when rocks on both sides move?,a fault,Strike-slip fault,0.500,0.499,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_1067,An inclined plane is a good example of what kind of machine?,simple,simple machine,0.667,0.497,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_4360,What is algae easier to covert into that corn is currently used for?,fuel,biofuel,0.000,0.494,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_1394,The logistics of carrying out cellular metabolism sets limits on what physical property of the cell?,size,Cell size,0.667,0.491,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_3366,"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_2146,"In the case of the thyroid hormone pathway, thyroid hormone itself carries out what kind of feedback?",negative,Negative feedback,0.667,0.488,answer_containment_low_embedding_score
results_nq,MiniLM,low_similarity_correct,sample_3533,"Plants obtain their energy from the sun through photosynthesis , what do animals obtain their energy from?",organisms,Animals obtain their energy from consuming other organisms.,0.222,0.484,overly_long_answer_context_dilution
