dataset,model,failure_kind,human_category,count,percentage
results_nq,BGE,high_similarity_wrong,automatic_label_artifact,17,34.0
results_nq,BGE,high_similarity_wrong,semantic_similarity_limitation,33,66.0
results_nq,MiniLM,high_similarity_wrong,automatic_label_artifact,17,34.0
results_nq,MiniLM,high_similarity_wrong,semantic_similarity_limitation,33,66.0
results_nq,MiniLM,low_similarity_correct,automatic_label_artifact,3,7.5
results_nq,MiniLM,low_similarity_correct,low_similarity_false_negative,37,92.5
results_sciq_5000,BGE,high_similarity_wrong,automatic_label_artifact,16,32.0
results_sciq_5000,BGE,high_similarity_wrong,semantic_similarity_limitation,34,68.0
results_sciq_5000,MiniLM,high_similarity_wrong,automatic_label_artifact,16,32.0
results_sciq_5000,MiniLM,high_similarity_wrong,semantic_similarity_limitation,34,68.0
results_sciq_5000,MiniLM,low_similarity_correct,automatic_label_artifact,3,8.1
results_sciq_5000,MiniLM,low_similarity_correct,low_similarity_false_negative,34,91.9
results_truthfulQA_500,BGE,high_similarity_wrong,automatic_label_artifact,26,52.0
results_truthfulQA_500,BGE,high_similarity_wrong,semantic_similarity_limitation,24,48.0
results_truthfulQA_500,MiniLM,high_similarity_wrong,automatic_label_artifact,12,42.9
results_truthfulQA_500,MiniLM,high_similarity_wrong,semantic_similarity_limitation,16,57.1
results_truthfulQA_500,MiniLM,low_similarity_correct,low_similarity_false_negative,2,100.0
results_wiki,BGE,high_similarity_wrong,automatic_label_artifact,21,42.0
results_wiki,BGE,high_similarity_wrong,semantic_similarity_limitation,29,58.0
results_wiki,MiniLM,high_similarity_wrong,automatic_label_artifact,21,42.0
results_wiki,MiniLM,high_similarity_wrong,semantic_similarity_limitation,29,58.0
results_wiki,MiniLM,low_similarity_correct,automatic_label_artifact,3,8.6
results_wiki,MiniLM,low_similarity_correct,low_similarity_false_negative,32,91.4
