dataset,model,failure_kind,heuristic_type,id,question,ground_truth,prediction,exact_match,token_f1,contains_ground_truth,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_11,What is controlled by both genes and experiences in a given envionment?,animal behaviors,Behavior,0,0.0,0,0,0.6072869300842285,0.876394510269165
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,Gene expression,0,0.5,0,0,0.7839294672012329,0.861060380935669
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,sample_30,Where do angiosperms produce seeds in flowers?,ovaries,Ovary,0,0.0,0,0,0.8327299952507019,0.895119309425354
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,food molecules,0,0.5,0,0,0.6959046125411987,0.8517605662345886
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,Succession,0,0.6666666666666666,0,0,0.874010443687439,0.8195450305938721
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_66,What consequence of a tornado is responsible for most injuries and deaths?,flying debris,Debris and flying objects.,0,0.6666666666666666,0,0,0.9253425002098083,0.9343302249908447
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,reproductive organs,Sexual organs,0,0.5,0,0,0.8387916088104248,0.8908389806747437
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice wedging,Frost wedging,0,0.5,0,0,0.814458429813385,0.8935737609863281
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_97,What type of reactions form compounds?,chemical reactions,Synthesis reactions,0,0.5,0,0,0.7546691298484802,0.836662769317627
results_wiki,BGE,high_similarity_wrong,numeric_equivalence,sample_108,How many different types of taste can be detected by taste buds?,five,5,0,0.0,0,0,0.922978401184082,0.9198909997940063
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0,0.5,0,0,0.7587158679962158,0.8369267582893372
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,excretions,excreta,0,0.0,0,0,0.8667148351669312,0.8599008917808533
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,Intra-plate earthquakes,0,0.4,0,0,0.8981689214706421,0.9769126772880554
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_131,"First, high temperature denatures proteins and does what to cells?",kills them,Kills cells,0,0.5,0,0,0.5021902918815613,0.8010230660438538
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_136,What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,sympatric speciation,Allopatric speciation,0,0.5,0,0,0.6714089512825012,0.8873975872993469
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_144,What are made of long chains consisting almost solely of carbon and hydrogen?,lipids,Fats,0,0.0,0,0,0.6038416028022766,0.822271466255188
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_149,What science includes many fields of science related to our home planet?,earth science,Geosciences,0,0.0,0,0,0.6996361613273621,0.8240726590156555
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_188,What does the cell cycle do?,divide and reproduce cells,Generates new cells through division.,0,0.22222222222222224,0,0,0.7762211561203003,0.8176991939544678
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",nasal septum,septum,0,0.6666666666666666,0,0,0.7941709160804749,0.9226486086845398
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_214,What is a mass spectrometer used to measure?,relative atomic masses,Mass and abundance of isotopes,0,0.0,0,0,0.5479756593704224,0.8028210401535034
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,hotter water,0,0.5,0,0,0.8546098470687866,0.8820931315422058
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,sample_217,What are groups of young stars loosely held together by gravity called?,open clusters,Open cluster,0,0.5,0,0,0.9454848170280457,0.9744434356689453
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_220,What does the driving of turbines by the heating of water to steam accomplish?,generation of electricity,Generates electricity.,0,0.4,0,0,0.8558413982391357,0.8841770887374878
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,an electric generator,Generator,0,0.6666666666666666,0,0,0.8309644460678101,0.8594814538955688
results_wiki,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,sample_227,What property of warm air causes it to rise above cold air?,lower density,Less dense,0,0.0,0,0,0.7964803576469421,0.8733506798744202
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_233,What are fibers that depend on aerobic respiration called?,oxidative fibers,Aerobic fibers,0,0.5,0,0,0.6363409161567688,0.8410002589225769
results_wiki,BGE,high_similarity_wrong,other_or_true_semantic_error,sample_247,The simplest class of organic compounds is the what?,hydrocarbons,alkanes,0,0.0,0,0,0.692003071308136,0.8434638381004333
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_255,What is the name of the two metalloids in the carbon group called?,silicon and germanium,Boron and Silicon,0,0.6666666666666666,0,0,0.6699081063270569,0.8600959181785583
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_262,"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?",human actions,Human activities,0,0.5,0,0,0.7371179461479187,0.9247584939002991
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_265,What are formed by the attraction between oppositely charged ions?,ionic bonds,Ionic compounds,0,0.5,0,0,0.81009441614151,0.8575112819671631
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_271,For what purpose does liver use the excess carbohydrate?,to synthesize glycogen,To store as glycogen,0,0.5714285714285715,0,0,0.776299238204956,0.8482056260108948
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,sample_301,What is another name for composite volcanos?,stratovolcanoes,Stratovolcanos,0,0.0,0,0,0.9743903875350952,0.9663833975791931
results_wiki,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,sample_303,What type of winds occur when air is forced over a mountain range?,chinook winds,Mountain winds,0,0.5,0,0,0.6242203712463379,0.8243448734283447
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_316,What is likely to happen to a parasite if it kills its host?,it dies,It will die.,0,0.4,0,0,0.7376376986503601,0.9156816005706787
results_wiki,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,sample_334,What occurs when some members of a species become geographically separated?,allopatric speciation,Speciation,0,0.6666666666666666,0,0,0.7573438882827759,0.8772562742233276
results_wiki,BGE,high_similarity_wrong,morphology_or_inflection,sample_352,The function of which organ is to filter blood and form urine?,kidneys,Kidney,0,0.0,0,0,0.8868283629417419,0.9030759334564209
