question,correct_answer,id,dataset,ground_truth,prompt,prediction,reference_answer,reference_answer_source,reference_evidence,exact_match,token_f1,contains_ground_truth,contains_prediction_in_reference,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5,entity_overlap,hybrid_sentence_transformers_all_MiniLM_L6_v2,hybrid_BAAI_bge_base_en_v1.5,result_group,dataset_result,task_type,model,failure_kind,active_similarity,distance,human_category,human_type,human_rationale
are anglican and church of england the same,"Church of England The Church of England (C of E) is the state church of England.[3][4][5] The Archbishop of Canterbury (currently Justin Welby) is the most senior cleric, although the monarch is the supreme governor. The Church of England is also the mother church of the international Anglican Communion. It traces its history to the Christian church recorded as existing in the Roman province of Britain by the third century, and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury.[6][7][8]",sample_48,nq,"Church of England The Church of England (C of E) is the state church of England.[3][4][5] The Archbishop of Canterbury (currently Justin Welby) is the most senior cleric, although the monarch is the supreme governor. The Church of England is also the mother church of the international Anglican Communion. It traces its history to the Christian church recorded as existing in the Roman province of Britain by the third century, and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury.[6][7][8]","Answer the following question in one or two concise sentences.

Question: are anglican and church of england the same

Answer:","The Church of England is the Anglican Communion in England, but not all Anglican churches are part of the Church of England.",The Church of England is also the mother church of the international Anglican Communion,nq_evidence_sentence,The Church of England is also the mother church of the international Anglican Communion,0,0.5333333333333333,0,0,0,0.7884770035743713,0.8047223687171936,0.7499999999999999,0.7769339025020598,0.7883056581020355,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8047223687171936,0.1952776312828064,automatic_label_artifact,extracted_reference_close_paraphrase,"Extracted reference is focused, but automatic label is stricter than paraphrase equivalence."
compare the speed of sound in solid liquid and gas media,"Speed of sound In common everyday speech, speed of sound refers to the speed of sound waves in air. However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. For example, (as noted above), sound travels at 343 m/s in air; it travels at 1,484 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). In an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (26,843Â mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.",sample_110,nq,"Speed of sound In common everyday speech, speed of sound refers to the speed of sound waves in air. However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. For example, (as noted above), sound travels at 343 m/s in air; it travels at 1,484 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). In an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (26,843Â mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.","Answer the following question in one or two concise sentences.

Question: compare the speed of sound in solid liquid and gas media

Answer:","Sound travels fastest in solids, slower in liquids, and slowest in gases.","However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids",nq_evidence_sentence,"However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids",0,0.48648648648648657,0,0,0,0.9001237154006958,0.892000675201416,0.0,0.6300866007804871,0.6244004726409912,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.892000675201416,0.10799932479858398,automatic_label_artifact,extracted_reference_close_paraphrase,"Extracted reference is focused, but automatic label is stricter than paraphrase equivalence."
which is the oldest gospel in the bible,"Gospel of Mark Mark probably dates from 66â€“70 AD.[3] It appears as the second New Testament gospel because it was traditionally thought to be an epitome (summary) of Matthew, but most scholars now regard it as the earliest written gospel.[4][5] Some also reject the tradition which ascribes it to John Mark, the companion of the apostle Peter, and regard it as the work of an unknown author working with various sources including collections of miracle stories, controversy stories, parables, and a passion narrative.[6]",sample_138,nq,"Gospel of Mark Mark probably dates from 66â€“70 AD.[3] It appears as the second New Testament gospel because it was traditionally thought to be an epitome (summary) of Matthew, but most scholars now regard it as the earliest written gospel.[4][5] Some also reject the tradition which ascribes it to John Mark, the companion of the apostle Peter, and regard it as the work of an unknown author working with various sources including collections of miracle stories, controversy stories, parables, and a passion narrative.[6]","Answer the following question in one or two concise sentences.

Question: which is the oldest gospel in the bible

Answer:",The Gospel of Mark is considered the oldest gospel in the New Testament.,"Gospel of Mark Mark probably dates from 66â€“70 AD. It appears as the second New Testament gospel because it was traditionally thought to be an epitome of Matthew, but most scholars now regard it as the.",nq_evidence_sentence,"Gospel of Mark Mark probably dates from 66â€“70 AD. It appears as the second New Testament gospel because it was traditionally thought to be an epitome of Matthew, but most scholars now regard it as the earliest written gospel. Some also reject the tradition which ascribes it to John Mark, the companion of the apostle Peter, and regard it as the work of an unknown author working with various sources including collections of miracle stories, controversy stories, parables, and a passion narrative",0,0.2727272727272727,0,0,0,0.7550052404403687,0.8299657106399536,0.2222222222222222,0.5951703349749247,0.6476426641146341,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8299657106399536,0.1700342893600464,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
where does g0 occur in the cell cycle,"G0 phase The G0 phase describes a cellular state outside of the replicative cell cycle. Classically, cells were thought to enter G0 primarily due to environmental factors, like nutrient deprivation, that limited the resources necessary for proliferation. Thus it was thought of as a resting phase. G0 is now known to take different forms and occur for multiple reasons. For example, most adult neuronal cells, among the most metabolically active cells in the body, are fully differentiated and reside in a terminal G0 phase. Neurons reside in this state, not because of stochastic or limited nutrient supply, but as a part of their internal genetic programming.",sample_160,nq,"G0 phase The G0 phase describes a cellular state outside of the replicative cell cycle. Classically, cells were thought to enter G0 primarily due to environmental factors, like nutrient deprivation, that limited the resources necessary for proliferation. Thus it was thought of as a resting phase. G0 is now known to take different forms and occur for multiple reasons. For example, most adult neuronal cells, among the most metabolically active cells in the body, are fully differentiated and reside in a terminal G0 phase. Neurons reside in this state, not because of stochastic or limited nutrient supply, but as a part of their internal genetic programming.","Answer the following question in one or two concise sentences.

Question: where does g0 occur in the cell cycle

Answer:","G0 occurs outside of the cell cycle, when cells are not actively dividing.",G0 phase The G0 phase describes a cellular state outside of the replicative cell cycle,nq_evidence_sentence,G0 phase The G0 phase describes a cellular state outside of the replicative cell cycle,0,0.4166666666666667,0,0,0,0.7715132832527161,0.88013756275177,0.0,0.5400592982769012,0.616096293926239,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.88013756275177,0.11986243724822998,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
when is the fertilized ovum considered an embryo,"Embryo In humans, a pregnancy is generally considered to be in the embryonic stage of development between the fifth and the eleventh weeks after fertilization,[1] and is expressed as a fetus from the twelfth week.",sample_162,nq,"Embryo In humans, a pregnancy is generally considered to be in the embryonic stage of development between the fifth and the eleventh weeks after fertilization,[1] and is expressed as a fetus from the twelfth week.","Answer the following question in one or two concise sentences.

Question: when is the fertilized ovum considered an embryo

Answer:",The fertilized ovum is generally considered an embryo starting from the third week after fertilization.,"Embryo In humans, a pregnancy is generally considered to be in the embryonic stage of development between the fifth and the eleventh weeks after fertilization, and is expressed as a fetus from the twelfth week",nq_evidence_sentence,"Embryo In humans, a pregnancy is generally considered to be in the embryonic stage of development between the fifth and the eleventh weeks after fertilization, and is expressed as a fetus from the twelfth week",0,0.3902439024390244,0,0,0,0.7928864359855652,0.8189449310302734,0.0,0.5550205051898955,0.5732614517211914,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8189449310302734,0.18105506896972656,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
where did the bald eagle get its name,"Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed"". The adult is mainly brown with a white head and tail. The sexes are identical in plumage, but females are about 25 percent larger than males. The beak is large and hooked. The plumage of the immature is brown.",sample_184,nq,"Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed"". The adult is mainly brown with a white head and tail. The sexes are identical in plumage, but females are about 25 percent larger than males. The beak is large and hooked. The plumage of the immature is brown.","Answer the following question in one or two concise sentences.

Question: where did the bald eagle get its name

Answer:","The bald eagle got its name from the Old English word ""bald,"" which means white.","Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed""",nq_evidence_sentence,"Bald eagle Bald eagles are not actually bald; the name derives from an older meaning of the word, ""white headed""",0,0.4666666666666667,0,0,0,0.8759097456932068,0.8679406642913818,0.0,0.6131368219852447,0.6075584650039673,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8679406642913818,0.13205933570861816,automatic_label_artifact,extracted_reference_close_paraphrase,"Extracted reference is focused, but automatic label is stricter than paraphrase equivalence."
what is commission on human rights of the philippines,"Commission on Human Rights (Philippines) The Commission on Human Rights (CHR) is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil and political rights in the Philippines.[2]",sample_187,nq,"Commission on Human Rights (Philippines) The Commission on Human Rights (CHR) is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil and political rights in the Philippines.[2]","Answer the following question in one or two concise sentences.

Question: what is commission on human rights of the philippines

Answer:",The Commission on Human Rights of the Philippines is an independent quasi-judicial body responsible for the promotion and protection of human rights.,"Commission on Human Rights The Commission on Human Rights is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil.",nq_evidence_sentence,"Commission on Human Rights The Commission on Human Rights is an independent constitutional office created under the 1987 Constitution of the Philippines, with the primary function of investigating all forms of human rights violations involving civil and political rights in the Philippines",0,0.44000000000000006,0,0,0,0.8396743535995483,0.8714849948883057,0.4444444444444444,0.7211053808530172,0.7433728297551472,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8714849948883057,0.12851500511169434,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
what is the source of local governments authority,"Local government A local government is a form of public administration which, in a majority of contexts, exists as the lowest tier of administration within a given state. The term is used to contrast with offices at state level, which are referred to as the central government, national government, or (where appropriate) federal government and also to supranational government which deals with governing institutions between states. Local governments generally act within powers delegated to them by legislation or directives of the higher level of government. In federal states, local government generally comprises the third (or sometimes fourth) tier of government, whereas in unitary states, local government usually occupies the second or third tier of government, often with greater powers than higher-level administrative divisions.",sample_189,nq,"Local government A local government is a form of public administration which, in a majority of contexts, exists as the lowest tier of administration within a given state. The term is used to contrast with offices at state level, which are referred to as the central government, national government, or (where appropriate) federal government and also to supranational government which deals with governing institutions between states. Local governments generally act within powers delegated to them by legislation or directives of the higher level of government. In federal states, local government generally comprises the third (or sometimes fourth) tier of government, whereas in unitary states, local government usually occupies the second or third tier of government, often with greater powers than higher-level administrative divisions.","Answer the following question in one or two concise sentences.

Question: what is the source of local governments authority

Answer:",Local governments derive their authority from state or provincial laws.,Local governments generally act within powers delegated to them by legislation or directives of the higher level of government,nq_evidence_sentence,Local governments generally act within powers delegated to them by legislation or directives of the higher level of government,0,0.21428571428571427,0,0,0,0.7429791688919067,0.8244986534118652,1.0,0.8200854182243348,0.8771490573883056,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8244986534118652,0.17550134658813477,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
what's the population of pinellas county florida,"Pinellas County, Florida Pinellas County is a county located in the state of Florida.[3] As of the 2010 census, the population was 916,542.[4] The county is part of the Tampa–St. Petersburg–Clearwater, Florida Metropolitan Statistical Area.[3] Clearwater is the county seat,[5] and St. Petersburg is the largest city.[3]",sample_203,nq,"Pinellas County, Florida Pinellas County is a county located in the state of Florida.[3] As of the 2010 census, the population was 916,542.[4] The county is part of the Tampa–St. Petersburg–Clearwater, Florida Metropolitan Statistical Area.[3] Clearwater is the county seat,[5] and St. Petersburg is the largest city.[3]","Answer the following question in one or two concise sentences.

Question: what's the population of pinellas county florida

Answer:","The population of Pinellas County, Florida is approximately 1,083,460 as of 2023.","Pinellas County, Florida Pinellas County is a county located in the state of Florida. As of the 2010 census, the population was 916,542. The county is part of the Tampa–St",nq_evidence_sentence,"Pinellas County, Florida Pinellas County is a county located in the state of Florida. As of the 2010 census, the population was 916,542. The county is part of the Tampa–St",0,0.4102564102564103,0,0,0,0.9361448884010315,0.8263278007507324,0.3529411764705882,0.7611837748218986,0.6843118134666892,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8263278007507324,0.17367219924926758,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
what is the brightest star in corona borealis,"Corona Borealis The brightest star is the magnitude 2.2 Alpha Coronae Borealis. The yellow supergiant R Coronae Borealis is the prototype of a rare class of giant stars—the R Coronae Borealis variables—that are extremely hydrogen deficient, and thought to result from the merger of two white dwarfs. T Coronae Borealis, also known as the Blaze Star, is another unusual type of variable star known as a recurrent nova. Normally of magnitude 10, it last flared up to magnitude 2 in 1946. ADS 9731 and Sigma Coronae Borealis are multiple star systems with six and five components respectively. Five star systems have been found to have Jupiter-sized exoplanets. Abell 2065 is a highly concentrated galaxy cluster one billion light-years from the Solar System containing more than 400 members, and is itself part of the larger Corona Borealis Supercluster.",sample_243,nq,"Corona Borealis The brightest star is the magnitude 2.2 Alpha Coronae Borealis. The yellow supergiant R Coronae Borealis is the prototype of a rare class of giant stars—the R Coronae Borealis variables—that are extremely hydrogen deficient, and thought to result from the merger of two white dwarfs. T Coronae Borealis, also known as the Blaze Star, is another unusual type of variable star known as a recurrent nova. Normally of magnitude 10, it last flared up to magnitude 2 in 1946. ADS 9731 and Sigma Coronae Borealis are multiple star systems with six and five components respectively. Five star systems have been found to have Jupiter-sized exoplanets. Abell 2065 is a highly concentrated galaxy cluster one billion light-years from the Solar System containing more than 400 members, and is itself part of the larger Corona Borealis Supercluster.","Answer the following question in one or two concise sentences.

Question: what is the brightest star in corona borealis

Answer:","The brightest star in Corona Borealis is Alpha Coronae Borealis, also known as Alphekka or Miotto.",Corona Borealis The brightest star is the magnitude 2.2 Alpha Coronae Borealis,nq_evidence_sentence,Corona Borealis The brightest star is the magnitude 2.2 Alpha Coronae Borealis,0,0.6153846153846153,0,0,0,0.7966533899307251,0.8301233649253845,0.25,0.6326573729515075,0.6560863554477692,implemented_improvement,results_nq_500,long_form,BGE,high_similarity_wrong,0.8301233649253845,0.16987663507461548,automatic_label_artifact,extracted_reference_close_paraphrase,"Extracted reference is focused, but automatic label is stricter than paraphrase equivalence."
