dataset,model,failure_kind,id,question,ground_truth,prediction,token_f1,contains_ground_truth,similarity_MiniLM,similarity_BGE,suggested_heuristic_type,human_type,human_notes
results_sciq_5000,BGE,high_similarity_wrong,sample_3364,The carrying angle is larger in females to accommodate their what?,wider pelvis,wider hips,0.5,0,0.7248530387878418,0.8866046667098999,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_sciq_5000,BGE,high_similarity_wrong,sample_508,Emissions of what gas into the atmosphere from fossil fuel burning have been rising for the past several decades?,carbon dioxide,CO2,0.0,0,0.8494598269462585,0.8872535824775696,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_sciq_5000,BGE,high_similarity_wrong,sample_115,What renewable energy source converts energy from the sunlight into electricity?,solar energy,Solar panels,0.5,0,0.7587158679962158,0.8369266986846924,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_sciq_5000,BGE,high_similarity_wrong,sample_3928,What is it called when you touch a charged object to the earth?,grounding,Earthing,0.0,0,0.6711880564689636,0.9031903743743896,semantic_relatedness_not_correctness,semantic_relatedness_not_correctness,"High-similarity wrong: Prediction is semantically related to the reference, but relatedness alone may not prove factual correctness."
results_sciq_5000,BGE,high_similarity_wrong,sample_1276,People with osteoporosis have an increase risk of what?,bone fractures,fractures,0.6666666666666666,0,0.9021431803703308,0.8907286524772644,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_sciq_5000,BGE,high_similarity_wrong,sample_1145,What is a strombolian eruption named for?,mt. stromboli,Stromboli volcano,0.5,0,0.7962019443511963,0.9002037644386292,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_sciq_5000,BGE,high_similarity_wrong,sample_1039,The genes that code for the positive cell cycle regulators are called what?,proto-oncogenes,Oncogenes,0.6666666666666666,0,0.77135169506073,0.8349338173866272,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
results_sciq_5000,BGE,high_similarity_wrong,sample_632,Cilia and flagella are extensions of what?,plasma membrane,cell membrane,0.5,0,0.7394431829452515,0.9140180349349976,synonym_or_paraphrase_labeling_artifact,synonym_or_paraphrase_labeling_artifact,High-similarity wrong: Prediction is a close paraphrase or synonym of the reference; automatic exact/token labels may be too strict.
results_sciq_5000,BGE,high_similarity_wrong,sample_3925,"What type of organism, including sea stars and sand dollars, is named for their spiny skin?",echinoderms,Echinoderm,0.0,0,0.9349908828735352,0.9539349675178528,morphology_or_inflection,morphology_or_inflection,High-similarity wrong: Prediction differs mainly by singular/plural or simple inflection; this is likely an automatic-label artifact.
results_sciq_5000,BGE,high_similarity_wrong,sample_484,"The coccyx, or tailbone, results from the fusion of four small what?",coccygeal vertebrae,vertebrae,0.6666666666666666,0,0.7477851510047913,0.8137713074684143,underspecified_or_overspecified_answer,underspecified_or_overspecified_answer,"High-similarity wrong: Prediction shares key content but is either too broad, too narrow, or includes a different level of specificity."
