dataset,model,failure_kind,human_type,count,percentage
results_nq,BGE,high_similarity_wrong,morphology_or_inflection,3,6.0
results_nq,BGE,high_similarity_wrong,numeric_equivalence,1,2.0
results_nq,BGE,high_similarity_wrong,other_or_true_semantic_error,9,18.0
results_nq,BGE,high_similarity_wrong,semantic_relatedness_not_correctness,11,22.0
results_nq,BGE,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,13,26.0
results_nq,BGE,high_similarity_wrong,underspecified_or_overspecified_answer,13,26.0
results_nq,MiniLM,high_similarity_wrong,morphology_or_inflection,6,12.0
results_nq,MiniLM,high_similarity_wrong,numeric_equivalence,3,6.0
results_nq,MiniLM,high_similarity_wrong,other_or_true_semantic_error,10,20.0
results_nq,MiniLM,high_similarity_wrong,semantic_relatedness_not_correctness,5,10.0
results_nq,MiniLM,high_similarity_wrong,synonym_or_paraphrase_labeling_artifact,8,16.0
results_nq,MiniLM,high_similarity_wrong,underspecified_or_overspecified_answer,18,36.0
results_nq,MiniLM,low_similarity_correct,answer_containment_low_embedding_score,25,62.5
results_nq,MiniLM,low_similarity_correct,numeric_equivalence,3,7.5
results_nq,MiniLM,low_similarity_correct,overly_long_answer_context_dilution,12,30.0
