dataset,task_type,model,failure_kind,id,question,ground_truth,evaluation_reference,reference_answer_source,reference_evidence,prediction,correct_label,token_f1,contains_ground_truth,entity_overlap,similarity,distance,explanation_hint
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_292,What are the two distinct types of cells found in the animal kingdom?,prokaryotes and eukaryotes,prokaryotes and eukaryotes,ground_truth,prokaryotes and eukaryotes,Eukaryotic and prokaryotic,0,0.3333333333333333,0,0.0,0.9513198733329773,0.048680126667022705,Semantic relatedness may be high while key factual units differ.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,livestock predation,ground_truth,livestock predation,Increased predation on livestock.,0,0.6666666666666666,0,0.0,0.9306113719940186,0.06938862800598145,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_462,Frequency and intensity are two measurable properties of what?,wave,wave,ground_truth,wave,waves,0,0.0,0,0.0,0.9182223677635193,0.08177763223648071,Semantic relatedness may be high while key factual units differ.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_330,What are the 2 primary hosts of ebola in central africa?,apes and bats,apes and bats,ground_truth,apes and bats,Bats and primates,0,0.6666666666666666,0,0.0,0.9175637364387512,0.08243626356124878,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_41,What phenomenon is primarily the result of plate tectonic motions?,earthquake,earthquake,ground_truth,earthquake,Earthquakes,0,0.0,0,0.0,0.9081757068634033,0.09182429313659668,Semantic relatedness may be high while key factual units differ.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_409,What type of bonds do alkanes only contain?,carbon-carbon single bonds,carbon-carbon single bonds,ground_truth,carbon-carbon single bonds,Carbon-carbon and carbon-hydrogen single bonds,0,0.7272727272727273,0,0.0,0.9053758978843689,0.0946241021156311,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,warmer water,warmer water,ground_truth,warmer water,warm water,0,0.5,0,0.5,0.9005037546157837,0.09949624538421631,High semantic score with partial lexical overlap; inspect specificity.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,intraplate earthquakes,ground_truth,intraplate earthquakes,Intra-plate earthquakes,0,0.4,0,0.0,0.8981689214706421,0.10183107852935791,Semantic relatedness may be high while key factual units differ.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_82,An endocrine disease usually involves the secretion of too much or not enough of what?,hormone,hormone,ground_truth,hormone,hormones,0,0.0,0,0.0,0.8980160355567932,0.10198396444320679,Semantic relatedness may be high while key factual units differ.
sciq,short_form,sentence-transformers/all-MiniLM-L6-v2,high_similarity_wrong,sample_497,What is the study of the similarities and differences in the embryos of different species?,comparative embryology,comparative embryology,ground_truth,comparative embryology,Embryology,0,0.6666666666666666,0,0.0,0.8779029250144958,0.12209707498550415,High semantic score with partial lexical overlap; inspect specificity.
