result_group,dataset,task_type,model,failure_kind,id,question,reference_used,ground_truth,prediction,reference_answer_source,correct_label,token_f1,active_similarity,distance,human_category,human_type,human_rationale,annotator
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_292,What are the two distinct types of cells found in the animal kingdom?,prokaryotes and eukaryotes,prokaryotes and eukaryotes,Eukaryotic and prokaryotic,ground_truth,0,0.3333333333333333,0.966,0.034,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_462,Frequency and intensity are two measurable properties of what?,wave,wave,waves,ground_truth,0,0.0,0.925,0.075,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_152,What do ranchers fear will happen if wolves return?,livestock predation,livestock predation,Increased predation on livestock.,ground_truth,0,0.6666666666666666,0.919,0.081,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_334,What occurs when some members of a species become geographically separated?,allopatric speciation,allopatric speciation,Speciation,ground_truth,0,0.6666666666666666,0.877,0.123,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_124,"A few earthquakes take place away from plate boundaries, these are called what?",intraplate earthquakes,intraplate earthquakes,Intra-plate earthquakes,ground_truth,0,0.4,0.977,0.023,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_41,What phenomenon is primarily the result of plate tectonic motions?,earthquake,earthquake,Earthquakes,ground_truth,0,0.0,0.927,0.073,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_494,Producers at the base of ecological food webs are also known as?,autotrophic,autotrophic,Autotrophs,ground_truth,0,0.0,0.885,0.115,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",nasal septum,nasal septum,septum,ground_truth,0,0.6666666666666666,0.923,0.077,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_330,What are the 2 primary hosts of ebola in central africa?,apes and bats,apes and bats,Bats and primates,ground_truth,0,0.6666666666666666,0.915,0.085,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_438,What temperature scale is obtained by adding 273 degrees from the corresponding celsius temperature?,kelvin scale,kelvin scale,Kelvin,ground_truth,0,0.6666666666666666,0.907,0.093,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_431,What is the name of the region of a magnet that has the most pull?,pole,pole,Poles,ground_truth,0,0.0,0.867,0.133,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_227,What property of warm air causes it to rise above cold air?,lower density,lower density,Less dense,ground_truth,0,0.0,0.873,0.127,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_255,What is the name of the two metalloids in the carbon group called?,silicon and germanium,silicon and germanium,Boron and Silicon,ground_truth,0,0.6666666666666666,0.860,0.140,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_415,"This heat is used to convert water into steam, which is then used to turn a turbine, thus generating what?",electrical power,electrical power,electricity,ground_truth,0,0.0,0.864,0.136,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_265,What are formed by the attraction between oppositely charged ions?,ionic bonds,ionic bonds,Ionic compounds,ground_truth,0,0.5,0.858,0.142,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_102,What is the term for the force of attraction between things that have a mass?,gravity,gravity,Gravitational force,ground_truth,0,0.0,0.851,0.149,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_264,What keeps the moon orbiting earth?,gravity,gravity,Gravitational force,ground_truth,0,0.0,0.851,0.149,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,gene transcription,gene transcription,Gene expression,ground_truth,0,0.5,0.861,0.139,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,an electric generator,an electric generator,Generator,ground_truth,0,0.6666666666666666,0.859,0.141,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_188,What does the cell cycle do?,divide and reproduce cells,divide and reproduce cells,Grows and reproduces cells.,ground_truth,0,0.5,0.849,0.151,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_97,What type of reactions form compounds?,chemical reactions,chemical reactions,Synthesis reactions,ground_truth,0,0.5,0.837,0.163,automatic_label_artifact,paraphrase_alias_or_surface_mismatch,"Prediction is likely a paraphrase, alias, or surface-form variant.","Codex manual review, 2026-05-07"
baseline,results_sciq_500,short_form,BGE,high_similarity_wrong,sample_497,What is the study of the similarities and differences in the embryos of different species?,comparative embryology,comparative embryology,Embryology,ground_truth,0,0.6666666666666666,0.842,0.158,semantic_similarity_limitation,under_or_over_specific_answer,Answer changes the specificity required by the question.,"Codex manual review, 2026-05-07"
