question,correct_answer,id,dataset,ground_truth,prompt,prediction,exact_match,token_f1,contains_ground_truth,contains_prediction_in_reference,correct_label,similarity_sentence_transformers_all_MiniLM_L6_v2,similarity_BAAI_bge_base_en_v1.5,entity_overlap,hybrid_sentence_transformers_all_MiniLM_L6_v2,hybrid_BAAI_bge_base_en_v1.5,result_group,dataset_result,task_type,model,failure_kind,active_similarity,distance,human_category,human_type,human_rationale
when did us get involved in vietnam war,Role of the United States in the Vietnam War The role of the United States in the Vietnam War began after World War II and escalated into full commitment during the Vietnam War from 1955 to 1975.,sample_10,nq,Role of the United States in the Vietnam War The role of the United States in the Vietnam War began after World War II and escalated into full commitment during the Vietnam War from 1955 to 1975.,"Answer the following question in one or two concise sentences.

Question: when did us get involved in vietnam war

Answer:","The United States got involved in the Vietnam War in 1955, with significant escalation beginning in 1965.",0,0.3043478260869565,0,0,0,0.7649282813072205,0.8326026201248169,0.36363636363636365,0.6445407060059634,0.6919127431782809,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8326026201248169,0.1673973798751831,semantic_similarity_limitation,relatedness_over_scoring,BGE over-scores related concepts that may not be correct.
when was the first heart transplant performed in the world,"Christiaan Barnard Christiaan Neethling Barnard (8 November 1922 – 2 September 2001) was a South African cardiac surgeon who performed the world's first human-to-human heart transplant on December 3, 1967,[1][2] and the second overall heart transplant (James Hardy did a xenotransplant in 1964[3]). Growing up in Beaufort West, Cape Province, he studied medicine and practised for several years in his native country.[4] As a young doctor experimenting on dogs, Barnard developed a remedy for the infant defect of intestinal atresia. His technique saved the lives of ten babies in Cape Town and was adopted by surgeons in Britain and the United States.[5] In 1955, he travelled to the United States and was initially assigned further gastrointestinal work by Owen Wangensteen.[6] Vince Gott introduced him to the heart-lung machine, and Barnard was allowed to transfer to the service run by open heart surgery pioneer Walt Lillehei.[7] Upon returning to South Africa in 1958, Barnard was appointed head of the Department of Experimental Surgery at the Groote Schuur Hospital, Cape Town.[8]",sample_25,nq,"Christiaan Barnard Christiaan Neethling Barnard (8 November 1922 – 2 September 2001) was a South African cardiac surgeon who performed the world's first human-to-human heart transplant on December 3, 1967,[1][2] and the second overall heart transplant (James Hardy did a xenotransplant in 1964[3]). Growing up in Beaufort West, Cape Province, he studied medicine and practised for several years in his native country.[4] As a young doctor experimenting on dogs, Barnard developed a remedy for the infant defect of intestinal atresia. His technique saved the lives of ten babies in Cape Town and was adopted by surgeons in Britain and the United States.[5] In 1955, he travelled to the United States and was initially assigned further gastrointestinal work by Owen Wangensteen.[6] Vince Gott introduced him to the heart-lung machine, and Barnard was allowed to transfer to the service run by open heart surgery pioneer Walt Lillehei.[7] Upon returning to South Africa in 1958, Barnard was appointed head of the Department of Experimental Surgery at the Groote Schuur Hospital, Cape Town.[8]","Answer the following question in one or two concise sentences.

Question: when was the first heart transplant performed in the world

Answer:","The first heart transplant was performed on December 3, 1967, in Cape Town, South Africa.",0,0.15555555555555556,0,0,0,0.6274811625480652,0.8102784156799316,0.22727272727272727,0.5074186319654638,0.6353767091577703,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8102784156799316,0.18972158432006836,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
book that led to the meat inspection act,"The Jungle The Jungle is a 1906 novel written by the American journalist and novelist Upton Sinclair (1878â€“1968).[1] Sinclair wrote the novel to portray the harsh conditions and exploited lives of immigrants in the United States in Chicago and similar industrialized cities. His primary purpose in describing the meat industry and its working conditions was to advance socialism in the United States.[2] However, most readers were more concerned with his exposure of health violations and unsanitary practices in the American meatpacking industry during the early 20th century, greatly contributing to a public outcry which led to reforms including the Meat Inspection Act. Sinclair famously said of the public reaction, ""I aimed at the public's heart, and by accident I hit it in the stomach.""",sample_37,nq,"The Jungle The Jungle is a 1906 novel written by the American journalist and novelist Upton Sinclair (1878â€“1968).[1] Sinclair wrote the novel to portray the harsh conditions and exploited lives of immigrants in the United States in Chicago and similar industrialized cities. His primary purpose in describing the meat industry and its working conditions was to advance socialism in the United States.[2] However, most readers were more concerned with his exposure of health violations and unsanitary practices in the American meatpacking industry during the early 20th century, greatly contributing to a public outcry which led to reforms including the Meat Inspection Act. Sinclair famously said of the public reaction, ""I aimed at the public's heart, and by accident I hit it in the stomach.""","Answer the following question in one or two concise sentences.

Question: book that led to the meat inspection act

Answer:","Upton Sinclair's ""The Jungle""",0,0.0689655172413793,0,0,0,0.7622894048690796,0.8322597742080688,0.13333333333333336,0.5736025834083557,0.6225818419456481,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8322597742080688,0.16774022579193115,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
what's the difference between a calico cat and a tortoiseshell cat,"Tortoiseshell cat ""Tortoiseshell"" is typically reserved for particolored cats with relatively small or no white markings. Those that are largely white with tortoiseshell patches are described as tricolor,[2] tortoiseshell-and-white (in the United Kingdom), or calico (in Canada and the United States).[7]",sample_40,nq,"Tortoiseshell cat ""Tortoiseshell"" is typically reserved for particolored cats with relatively small or no white markings. Those that are largely white with tortoiseshell patches are described as tricolor,[2] tortoiseshell-and-white (in the United Kingdom), or calico (in Canada and the United States).[7]","Answer the following question in one or two concise sentences.

Question: what's the difference between a calico cat and a tortoiseshell cat

Answer:","A calico cat has distinct patches of white, black, and orange fur, while a tortoiseshell cat is predominantly black and orange with no white fur.",0,0.36363636363636365,0,0,0,0.7408736944198608,0.8232231736183167,0.0,0.5186115860939026,0.5762562215328216,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8232231736183167,0.17677682638168335,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
are anglican and church of england the same,"Church of England The Church of England (C of E) is the state church of England.[3][4][5] The Archbishop of Canterbury (currently Justin Welby) is the most senior cleric, although the monarch is the supreme governor. The Church of England is also the mother church of the international Anglican Communion. It traces its history to the Christian church recorded as existing in the Roman province of Britain by the third century, and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury.[6][7][8]",sample_48,nq,"Church of England The Church of England (C of E) is the state church of England.[3][4][5] The Archbishop of Canterbury (currently Justin Welby) is the most senior cleric, although the monarch is the supreme governor. The Church of England is also the mother church of the international Anglican Communion. It traces its history to the Christian church recorded as existing in the Roman province of Britain by the third century, and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury.[6][7][8]","Answer the following question in one or two concise sentences.

Question: are anglican and church of england the same

Answer:",The Church of England is the Anglican Communion in England.,0,0.18823529411764706,0,0,0,0.7462095022201538,0.8367116451263428,0.25,0.5973466515541077,0.6606981515884398,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8367116451263428,0.16328835487365723,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
when does the 18th century start and end,"18th century The 18th century lasted from January 1, 1701 to December 31, 1800 in the Gregorian calendar. During the 18th century, the Enlightenment culminated in the French and American revolutions. Philosophy and science increased in prominence. Philosophers dreamed of a brighter age. This dream turned into a reality with the French Revolution of 1789, though later compromised by the excesses of the Reign of Terror (1793–1794) under Maximilien Robespierre. At first, many monarchies of Europe embraced Enlightenment ideals, but with the French Revolution they feared losing their power and formed broad coalitions for the counter-revolution. The Ottoman Empire experienced an unprecedented period of peace and economic expansion, taking part in no European wars from 1740 to 1768. As a consequence the empire did not share in Europe's military improvements during the Seven Years' War (1756–1763), causing its military to fall behind and suffer defeats against Russia in the second half of the century.",sample_68,nq,"18th century The 18th century lasted from January 1, 1701 to December 31, 1800 in the Gregorian calendar. During the 18th century, the Enlightenment culminated in the French and American revolutions. Philosophy and science increased in prominence. Philosophers dreamed of a brighter age. This dream turned into a reality with the French Revolution of 1789, though later compromised by the excesses of the Reign of Terror (1793–1794) under Maximilien Robespierre. At first, many monarchies of Europe embraced Enlightenment ideals, but with the French Revolution they feared losing their power and formed broad coalitions for the counter-revolution. The Ottoman Empire experienced an unprecedented period of peace and economic expansion, taking part in no European wars from 1740 to 1768. As a consequence the empire did not share in Europe's military improvements during the Seven Years' War (1756–1763), causing its military to fall behind and suffer defeats against Russia in the second half of the century.","Answer the following question in one or two concise sentences.

Question: when does the 18th century start and end

Answer:",The 18th century starts in 1701 and ends in 1800.,0,0.09459459459459459,0,0,0,0.5627972483634949,0.8058468699455261,0.1621621621621622,0.442606722503095,0.6127414576105169,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8058468699455261,0.19415313005447388,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
where did yellowstone national park get its name,"Yellowstone National Park The park contains the headwaters of the Yellowstone River, from which it takes its historical name. Near the end of the 18th century, French trappers named the river Roche Jaune, which is probably a translation of the Hidatsa name Mi tsi a-da-zi (""Yellow Rock River"").[13] Later, American trappers rendered the French name in English as ""Yellow Stone"". Although it is commonly believed that the river was named for the yellow rocks seen in the Grand Canyon of the Yellowstone, the Native American name source is unclear.[14]",sample_71,nq,"Yellowstone National Park The park contains the headwaters of the Yellowstone River, from which it takes its historical name. Near the end of the 18th century, French trappers named the river Roche Jaune, which is probably a translation of the Hidatsa name Mi tsi a-da-zi (""Yellow Rock River"").[13] Later, American trappers rendered the French name in English as ""Yellow Stone"". Although it is commonly believed that the river was named for the yellow rocks seen in the Grand Canyon of the Yellowstone, the Native American name source is unclear.[14]","Answer the following question in one or two concise sentences.

Question: where did yellowstone national park get its name

Answer:","Yellowstone National Park got its name from the Yellow Stone River, which was likely misspelled as ""Yellowstone"" by early explorers.",0,0.26804123711340205,0,0,0,0.849083423614502,0.8480314016342163,0.09523809523809525,0.6229298251015799,0.62219340971538,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8480314016342163,0.1519685983657837,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
who holds the record for most lightning strikes,"Roy Sullivan Roy Cleveland Sullivan (February 7, 1912 â€“ September 28, 1983) was a United States park ranger in Shenandoah National Park in Virginia. Between 1942 and 1977, Sullivan was hit by lightning on seven different occasions and survived all of them. For this reason, he gained a nickname ""Human Lightning Conductor"" and ""Human Lightning Rod"". Sullivan is recognized by Guinness World Records as the person struck by lightning more recorded times than any other human being.[3]",sample_81,nq,"Roy Sullivan Roy Cleveland Sullivan (February 7, 1912 â€“ September 28, 1983) was a United States park ranger in Shenandoah National Park in Virginia. Between 1942 and 1977, Sullivan was hit by lightning on seven different occasions and survived all of them. For this reason, he gained a nickname ""Human Lightning Conductor"" and ""Human Lightning Rod"". Sullivan is recognized by Guinness World Records as the person struck by lightning more recorded times than any other human being.[3]","Answer the following question in one or two concise sentences.

Question: who holds the record for most lightning strikes

Answer:","Roy Sullivan holds the record for most lightning strikes on a human, with seven recorded strikes.",0,0.20224719101123598,0,0,0,0.8477258682250977,0.8127358555793762,0.0,0.5934081077575684,0.5689150989055634,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8127358555793762,0.18726414442062378,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
what is antony and cleopatra the play about,"Antony and Cleopatra The plot is based on Thomas North's translation of Plutarch's Lives and follows the relationship between Cleopatra and Mark Antony from the time of the Sicilian revolt to Cleopatra's suicide during the Final War of the Roman Republic. The major antagonist is Octavius Caesar, one of Antony's fellow triumvirs of the Second Triumvirate and the first emperor of the Roman Empire. The tragedy is mainly set in Rome and Egypt and is characterized by swift shifts in geographical location and linguistic register as it alternates between sensual, imaginative Alexandria and a more pragmatic, austere Rome.",sample_85,nq,"Antony and Cleopatra The plot is based on Thomas North's translation of Plutarch's Lives and follows the relationship between Cleopatra and Mark Antony from the time of the Sicilian revolt to Cleopatra's suicide during the Final War of the Roman Republic. The major antagonist is Octavius Caesar, one of Antony's fellow triumvirs of the Second Triumvirate and the first emperor of the Roman Empire. The tragedy is mainly set in Rome and Egypt and is characterized by swift shifts in geographical location and linguistic register as it alternates between sensual, imaginative Alexandria and a more pragmatic, austere Rome.","Answer the following question in one or two concise sentences.

Question: what is antony and cleopatra the play about

Answer:","Antony and Cleopatra is about the romance and political rivalry between Roman general Mark Antony and Egyptian queen Cleopatra, set against the backdrop of political intrigue and military conflict.",0,0.23931623931623933,0,0,0,0.7693315744400024,0.8004351258277893,0.2727272727272727,0.6203502839261834,0.6421227698976343,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8004351258277893,0.1995648741722107,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
when was the wolf of wall street filmed,"The Wolf of Wall Street (2013 film) Filming began on August 8, 2012, in New York.[35] Jonah Hill announced that his first day of shooting was September 4, 2012.[36] Filming also took place in Closter, New Jersey[37] and Harrison, New York. In January 2013, additional scenes were shot at a set built in an abandoned office building in Ardsley, New York. Scenes at the beach house were filmed in Sands Point, New York.[38]",sample_94,nq,"The Wolf of Wall Street (2013 film) Filming began on August 8, 2012, in New York.[35] Jonah Hill announced that his first day of shooting was September 4, 2012.[36] Filming also took place in Closter, New Jersey[37] and Harrison, New York. In January 2013, additional scenes were shot at a set built in an abandoned office building in Ardsley, New York. Scenes at the beach house were filmed in Sands Point, New York.[38]","Answer the following question in one or two concise sentences.

Question: when was the wolf of wall street filmed

Answer:",The Wolf of Wall Street was filmed from June to November 2013.,0,0.16666666666666663,0,0,0,0.8510109186172485,0.8111290335655212,0.22222222222222218,0.6623743096987406,0.6344569901625314,baseline,results_nq_5000,long_form,BGE,high_similarity_wrong,0.8111290335655212,0.18887096643447876,semantic_similarity_limitation,topic_relatedness_from_long_passage,Whole-passage similarity measures topic relatedness rather than answer equivalence.
