metric,reference_field,source,reason,value
num_records,all,,,500
pronoun_reference_count,reference_answer,,,16
one_token_suspicious_reference_count,reference_answer,,,20
long_evidence_fallback_count,reference_answer,,,46
invalid_reference_count,reference_answer,,,67
source_count,reference_answer,nq_evidence_sentence,,196
source_count,reference_answer,nq_number_heuristic,,18
source_count,reference_answer,nq_when_heuristic,,73
source_count,reference_answer,nq_where_heuristic,,69
source_count,reference_answer,nq_who_heuristic,,132
source_count,reference_answer,nq_who_title_heuristic,,12
pronoun_reference_count,reference_answer_v2,,,0
one_token_suspicious_reference_count,reference_answer_v2,,,0
long_evidence_fallback_count,reference_answer_v2,,,45
invalid_reference_count,reference_answer_v2,,,45
source_count,reference_answer_v2,nq_evidence_sentence,,196
source_count,reference_answer_v2,nq_number_heuristic,,19
source_count,reference_answer_v2,nq_when_heuristic,,75
source_count,reference_answer_v2,nq_where_heuristic,,67
source_count,reference_answer_v2,nq_who_heuristic,,131
source_count,reference_answer_v2,nq_who_title_heuristic,,12
validation_reason_count,reference_answer_v2,,long_evidence_fallback,45
validation_reason_count,reference_answer_v2,,valid,455
