result_group,dataset,model,failure_kind,count,avg_similarity,avg_distance
baseline,results_nq_5000,BGE,high_similarity_wrong,794,0.836,0.164
baseline,results_nq_5000,MiniLM,high_similarity_wrong,422,0.840,0.160
baseline,results_nq_5000,BGE,low_similarity_correct,16,0.458,0.542
baseline,results_nq_5000,MiniLM,low_similarity_correct,114,0.294,0.706
baseline,results_sciq_500,BGE,high_similarity_wrong,49,0.868,0.132
baseline,results_sciq_500,MiniLM,high_similarity_wrong,25,0.863,0.137
baseline,results_sciq_500,BGE,low_similarity_correct,0,0.000,0.000
baseline,results_sciq_500,MiniLM,low_similarity_correct,1,0.343,0.657
baseline,results_simple_questions_wiki_500,BGE,high_similarity_wrong,9,0.832,0.168
baseline,results_simple_questions_wiki_500,MiniLM,high_similarity_wrong,13,0.876,0.124
baseline,results_simple_questions_wiki_500,BGE,low_similarity_correct,0,0.000,0.000
baseline,results_simple_questions_wiki_500,MiniLM,low_similarity_correct,0,0.000,0.000
baseline,results_truthfulQA_500,BGE,high_similarity_wrong,153,0.864,0.136
baseline,results_truthfulQA_500,MiniLM,high_similarity_wrong,119,0.871,0.129
baseline,results_truthfulQA_500,BGE,low_similarity_correct,0,0.000,0.000
baseline,results_truthfulQA_500,MiniLM,low_similarity_correct,2,0.405,0.595
implemented_improvement,results_nq_500,BGE,high_similarity_wrong,31,0.838,0.162
implemented_improvement,results_nq_500,MiniLM,high_similarity_wrong,11,0.868,0.132
implemented_improvement,results_nq_500,BGE,low_similarity_correct,5,0.448,0.552
implemented_improvement,results_nq_500,MiniLM,low_similarity_correct,24,0.342,0.658
